cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
9.2,3.08,1.27,95.577,87.374,500.0,341.9,50,100,12,95.577,92.595,500.0,342.4,49,100,12,95.577,92.489,500.0,458.0,49,100,51,95.577,92.487,500.0,466.3,52,100,51,2026-09-11T16:19:22,13.15234375,1041.19,1239.42,198.23,,1789114762.0594726
10.5,3.08,1.27,95.577,87.374,500.0,461.5,51,100,50,95.577,92.595,500.0,457.2,50,100,50,95.577,92.489,500.0,339.7,47,100,11,95.577,92.487,500.0,344.1,50,100,11,2026-09-11T16:19:32,12.98828125,1041.13,1239.42,198.28,,1789114772.0595436
10.9,3.08,1.27,95.577,87.374,500.0,464.2,52,100,51,95.577,92.595,500.0,464.0,51,100,51,95.577,92.489,500.0,342.9,47,100,12,95.577,92.487,500.0,346.8,49,100,12,2026-09-11T16:19:42,13.0703125,1041.13,1239.42,198.29,,1789114782.0596166
11.0,3.08,1.27,95.577,87.374,500.0,466.5,52,100,51,95.577,92.595,500.0,458.7,51,100,52,95.577,92.489,500.0,454.6,49,100,45,95.577,92.487,500.0,458.6,51,100,45,2026-09-11T16:19:52,14.96923828125,1041.13,1239.42,198.29,,1789114792.0596871
11.3,3.08,1.27,95.577,87.374,500.0,465.9,52,100,51,95.577,92.595,500.0,466.8,51,100,51,95.577,92.489,500.0,441.2,48,100,45,95.577,92.487,500.0,444.6,51,100,45,2026-09-11T16:20:02,14.89404296875,1041.07,1239.42,198.34,,1789114802.0597587
11.1,3.08,1.27,95.577,87.374,500.0,458.4,51,100,50,95.577,92.595,500.0,456.7,51,100,50,95.577,92.489,500.0,449.4,49,100,46,95.577,92.487,500.0,447.5,51,100,46,2026-09-11T16:20:12,14.75634765625,1041.06,1239.42,198.36,,1789114812.0598302
11.1,3.08,1.27,95.577,87.374,500.0,463.9,51,100,52,95.577,92.595,500.0,463.4,51,100,52,95.577,92.489,500.0,446.8,49,100,47,95.577,92.487,500.0,453.6,51,100,47,2026-09-11T16:20:22,14.47900390625,1041.04,1239.42,198.38,,1789114822.0599024
11.1,3.08,1.27,95.577,87.374,500.0,456.7,51,100,53,95.577,92.595,500.0,457.9,50,100,53,95.577,92.489,500.0,451.2,49,100,49,95.577,92.487,500.0,457.9,51,100,49,2026-09-11T16:20:32,20.4853515625,1040.99,1239.42,198.42,,1789114832.0599754
9.4,3.08,1.27,95.577,87.374,500.0,428.7,50,100,49,95.577,92.595,500.0,428.4,49,100,49,95.577,92.489,500.0,456.9,49,100,51,95.577,92.487,500.0,463.3,51,100,51,2026-09-11T16:20:42,19.25390625,1041.0,1239.42,198.42,,1789114842.0600476
9.8,3.08,1.27,95.577,87.374,500.0,448.4,51,100,59,95.577,92.595,500.0,449.2,50,100,59,95.577,92.489,500.0,455.3,49,100,51,95.577,92.487,500.0,459.6,51,100,51,2026-09-11T16:20:52,18.05810546875,1041.01,1239.42,198.4,,1789114852.0601184
9.6,3.08,1.27,95.577,87.374,500.0,451.3,51,100,54,95.577,92.595,500.0,451.4,50,100,54,95.577,92.489,500.0,439.3,49,100,49,95.577,92.487,500.0,448.5,51,100,49,2026-09-11T16:21:02,17.11962890625,1041.01,1239.42,198.4,,1789114862.0601892
