cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
7.7,3.08,1.27,95.577,65.265,500.0,330.4,46,99,10,95.577,66.503,500.0,331.6,45,99,16,95.577,66.484,500.0,323.5,44,99,12,95.577,66.503,500.0,326.9,46,99,15,2026-09-11T16:25:02,10.40966796875,1041.33,1239.42,198.08,,1789115102.061923
7.6,3.08,1.27,95.577,65.265,500.0,319.8,46,99,17,95.577,66.503,500.0,320.7,45,99,19,95.577,66.484,500.0,320.2,44,99,20,95.577,66.503,500.0,322.7,47,99,19,2026-09-11T16:25:12,10.03857421875,1041.38,1239.42,198.04,,1789115112.061995
7.8,3.08,1.27,95.577,43.443,500.0,178.6,39,22,3,95.577,48.665,500.0,180.0,39,11,2,95.577,48.665,500.0,181.8,38,0,0,95.577,48.665,500.0,183.2,41,7,1,2026-09-11T16:25:22,9.8046875,1041.53,1239.42,197.88,,1789115122.0620663
9.7,3.08,1.27,95.577,86.845,500.0,416.8,47,100,47,95.577,92.068,500.0,422.3,46,100,47,95.577,92.023,500.0,420.1,46,100,46,95.577,92.023,500.0,425.1,48,100,46,2026-09-11T16:25:32,10.3095703125,1041.54,1239.42,197.87,,1789115132.0621364
9.7,3.08,1.27,95.577,86.845,500.0,408.9,47,100,52,95.577,92.068,500.0,408.6,46,100,52,95.577,92.023,500.0,411.9,46,100,57,95.577,92.023,500.0,419.6,49,100,57,2026-09-11T16:25:42,10.81005859375,1041.55,1239.42,197.87,,1789115142.062207
9.8,3.08,1.27,95.577,86.847,500.0,391.4,46,100,59,95.577,92.07,500.0,392.8,46,100,59,95.577,92.023,500.0,380.3,45,100,53,95.577,92.023,500.0,384.5,47,100,53,2026-09-11T16:25:52,10.919921875,1041.56,1239.42,197.85,,1789115152.0622787
9.3,3.08,1.27,95.577,86.847,500.0,397.3,46,100,60,95.577,92.07,500.0,400.3,45,100,60,95.577,92.025,500.0,396.9,45,100,60,95.577,92.025,500.0,400.9,47,100,60,2026-09-11T16:26:02,11.16015625,1041.58,1239.42,197.84,,1789115162.0623515
8.0,3.08,1.27,95.577,37.079,500.0,168.7,42,90,14,95.577,41.345,500.0,171.5,43,75,11,95.577,42.224,500.0,174.8,44,79,11,95.577,42.224,500.0,182.6,46,73,11,2026-09-11T16:26:12,10.96875,1041.52,1239.42,197.9,,1789115172.0624228
6.6,3.08,1.27,95.577,44.093,500.0,238.8,45,99,13,95.577,49.355,500.0,242.3,44,98,13,95.577,49.101,500.0,241.6,44,99,13,95.577,49.12,500.0,244.6,46,98,13,2026-09-11T16:26:22,10.4384765625,1042.24,1239.42,197.18,,1789115182.0624976
6.1,3.08,1.27,95.577,44.093,500.0,262.3,46,98,14,95.577,49.355,500.0,263.6,45,99,12,95.577,49.101,500.0,274.7,44,99,13,95.577,49.12,500.0,286.7,47,99,13,2026-09-11T16:26:32,10.056640625,1042.24,1239.42,197.17,,1789115192.0625722
