USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     417964 39.7  2.1 905627024 27969296 ?  SNl  15:55  20:48 ray::WorkerDict
root     417967 40.2  2.1 1020703380 27920328 ? SNl  15:55  21:03 ray::WorkerDict
root     417966 39.9  2.1 1020765320 27787544 ? SNl  15:55  20:54 ray::WorkerDict
root     417965 40.2  2.1 1019980404 27431616 ? SNl  15:55  21:05 ray::WorkerDict
root     419671  118  0.2 493421136 2827648 ?   RNl  15:57  60:17 VLLM::Worker_TP0
root     419662 60.3  0.2 493329664 2814772 ?   RNl  15:57  30:47 VLLM::Worker_TP1
root     419661  115  0.2 493458928 2799028 ?   RNl  15:57  58:44 VLLM::Worker_TP0
root     419672 61.7  0.2 493179960 2729860 ?   RNl  15:57  31:30 VLLM::Worker_TP1
root     419325 10.2  0.1 230781916 2199724 ?   SNl  15:56   5:14 ray::vLLMHttpServer
root     419340 10.4  0.1 230783488 2199436 ?   SNl  15:56   5:20 ray::vLLMHttpServer
root     416738  1.3  0.1 202051196 1329188 ?   SNl  15:55   0:43 ray::TaskRunnerV1.run
root     419638 58.3  0.1 23466836 1305080 ?    RNl  15:57  29:50 VLLM::EngineCore
root     420584  1.3  0.1 218750548 1301916 ?   SNl  15:57   0:39 ray::AgentLoopWorkerTQ
root     420607  1.3  0.1 218822120 1301160 ?   SNl  15:57   0:41 ray::AgentLoopWorkerTQ
root     419631 56.8  0.1 23465604 1301056 ?    RNl  15:57  29:02 VLLM::EngineCore
root     420614  1.3  0.0 218406300 1299496 ?   SNl  15:57   0:39 ray::AgentLoopWorkerTQ
root     420616  1.3  0.0 217912788 1299492 ?   SNl  15:57   0:39 ray::AgentLoopWorkerTQ
root     420615  1.3  0.0 218143100 1298100 ?   SNl  15:57   0:41 ray::AgentLoopWorkerTQ
root     420612  1.3  0.0 218625636 1296732 ?   SNl  15:57   0:40 ray::AgentLoopWorkerTQ
root     420592  1.3  0.0 218321288 1295272 ?   SNl  15:57   0:41 ray::AgentLoopWorkerTQ
root     420598  1.3  0.0 218560100 1245624 ?   SNl  15:57   0:39 ray::AgentLoopWorkerTQ
root     420381  0.8  0.0 197947868 1054116 ?   SNl  15:57   0:26 ray::GlobalRequestLoadBalancer
root     412149  1.5  0.0 3154632 933124 ?      Sl   15:55   0:50 /root/autodl-tmp/rl_lab/repos/verl/.venv/lib/python3.12/site-packages/ray/core/src/ray/gcs/gcs_server --log_dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_15-55-23_925057_412076/logs --config_list=eyJhdXRvbWF0aWNfb2JqZWN0X3NwaWxsaW5nX2VuYWJsZWQiOiB0cnVlLCAib2JqZWN0X3NwaWxsaW5nX2NvbmZpZyI6ICJ7XCJ0eXBlXCI6IFwiZmlsZXN5c3RlbVwiLCBcInBhcmFtc1wiOiB7XCJkaXJlY3RvcnlfcGF0aFwiOiBcIi9yb290L2F1dG9kbC10bXAvcmxfbGFiL3RtcC9yYXkvcmF5L3Nlc3Npb25fMjAyNi0wOS0xMV8xNS01NS0yM185MjUwNTdfNDEyMDc2XCJ9fSIsICJpc19leHRlcm5hbF9zdG9yYWdlX3R5cGVfZnMiOiB0cnVlfQ== --gcs_server_port=0 --metrics-agent-port=0 --node-ip-address=172.17.0.3 --session-name=session_2026-09-11_15-55-23_925057_412076 --ray-commit=237c2455ebb1ea15a32dd9e1fdeb2d617badc37f --session-dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_15-55-23_925057_412076 --node-id=683a58458bd2d8de275ac2c807e0c00af9c2710a3d50baf6597caee5 --stdout_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_15-55-23_925057_412076/logs/gcs_server.out --stderr_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_15-55-23_925057_412076/logs/gcs_server.err
root     418824  0.6  0.0 197514152 930120 ?    SNl  15:56   0:20 ray::RewardLoopWorker
root     418819  0.6  0.0 197366636 929156 ?    SNl  15:56   0:21 ray::RewardLoopWorker
root     418823  0.6  0.0 197440356 927576 ?    SNl  15:56   0:19 ray::RewardLoopWorker
root     419168  0.7  0.0 197441540 927576 ?    SNl  15:56   0:21 ray::RewardLoopWorker
root     418815  0.6  0.0 197294056 926672 ?    SNl  15:56   0:21 ray::RewardLoopWorker
root     419139  0.7  0.0 197293936 925980 ?    SNl  15:56   0:21 ray::RewardLoopWorker
root     418821  0.7  0.0 197366644 925868 ?    SNl  15:56   0:21 ray::RewardLoopWorker
root     418818  0.7  0.0 197366752 925624 ?    SNl  15:56   0:21 ray::RewardLoopWorker
root     496309  0.0  0.0 201997868 915992 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496344  0.0  0.0 201997900 899800 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496353  0.0  0.0 201997912 899800 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496361  0.0  0.0 201997924 899800 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496369  0.0  0.0 201997936 899800 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496317  0.0  0.0 201997864 899668 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496327  0.0  0.0 201997876 899668 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
root     496336  0.0  0.0 201997888 899668 ?    SNl  16:40   0:00 ray::TaskRunnerV1.run
