cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
9.9,3.08,1.27,95.577,86.751,500.0,418.6,48,100,50,95.577,91.974,500.0,419.7,47,100,50,95.577,92.001,500.0,384.5,45,100,45,95.577,92.001,500.0,390.4,48,100,45,2026-09-11T16:38:22,13.88671875,1041.81,1239.42,197.6,,1789115902.067714
10.1,3.08,1.27,95.577,86.751,500.0,401.7,48,100,50,95.577,91.974,500.0,400.3,47,100,50,95.577,92.001,500.0,380.0,45,100,51,95.577,92.001,500.0,384.7,47,100,50,2026-09-11T16:38:32,13.5224609375,1041.81,1239.42,197.6,,1789115912.067785
11.0,3.08,1.27,95.577,86.751,500.0,374.0,47,100,49,95.577,91.974,500.0,376.5,46,100,49,95.577,92.001,500.0,402.0,45,100,60,95.577,92.001,500.0,405.5,48,100,59,2026-09-11T16:38:42,13.44189453125,1041.82,1239.42,197.6,,1789115922.0678558
10.6,3.08,1.27,95.577,86.753,500.0,407.5,47,100,59,95.577,91.976,500.0,407.9,46,100,59,95.577,92.001,500.0,122.5,39,0,0,95.577,92.001,500.0,125.2,43,0,0,2026-09-11T16:38:52,13.37353515625,1041.8,1239.42,197.62,,1789115932.0679266
7.5,3.08,1.27,95.577,37.433,500.0,324.2,47,99,12,95.577,42.734,500.0,327.3,46,99,12,95.577,42.753,500.0,322.1,44,99,12,95.577,42.753,500.0,329.5,46,99,12,2026-09-11T16:39:02,13.17529296875,1041.69,1239.42,197.72,,1789115942.068
7.5,3.08,1.27,95.577,45.362,500.0,218.9,46,99,12,95.577,50.566,500.0,221.8,45,99,13,95.577,50.585,500.0,202.6,43,99,13,95.577,50.585,500.0,212.1,46,99,13,2026-09-11T16:39:12,12.45947265625,1041.63,1239.42,197.78,,1789115952.0680737
7.6,3.08,1.27,95.577,45.362,500.0,330.2,47,99,12,95.577,50.566,500.0,328.4,46,99,12,95.577,50.585,500.0,326.0,45,99,14,95.577,50.585,500.0,330.2,47,99,12,2026-09-11T16:39:22,11.84716796875,1041.66,1239.42,197.76,,1789115962.0681474
7.6,3.08,1.27,95.577,55.987,500.0,334.0,47,99,19,95.577,57.929,500.0,332.2,46,100,11,95.577,57.831,500.0,334.3,44,100,10,95.577,57.948,500.0,331.2,47,99,21,2026-09-11T16:39:32,11.3291015625,1041.59,1239.42,197.82,,1789115972.0682201
6.7,3.08,1.27,95.577,71.556,500.0,321.8,46,99,20,95.577,77.404,500.0,323.9,45,100,9,95.577,76.954,500.0,321.5,44,100,21,95.577,77.599,500.0,330.9,47,100,17,2026-09-11T16:39:42,10.73681640625,1042.28,1239.42,197.14,,1789115982.0682938
6.6,3.08,1.27,95.577,71.556,500.0,324.3,46,100,12,95.577,77.404,500.0,328.4,45,99,11,95.577,76.954,500.0,320.0,45,99,11,95.577,77.599,500.0,327.6,47,99,11,2026-09-11T16:39:52,10.38916015625,1042.29,1239.42,197.13,,1789115992.0683682
