global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T16:25:18,0,,0.0,0.0078125,,,0.024689029902219772,1e-06,0.20199108496308327,0.34275832772254944,-2.482418312865775e-05,9.249654931409168e-05,,,-0.375,0.9270248108869579,1.0,-1.0,-0.03846050426363945,,-2.474870204925537,1.6201833486557007,16,8.0,16,0,7,9,7,0.0,0.4375,0.5625,0.4375,9,0.5625,0.5186391340619118,,,,,,1713.6953125,,,4409.0,,,240409.0,532.5852021547336,32.352812923491,9.450046602636576,26.18945874646306,0.11695215106010437,,32.076281640678644,3.8416945673525333,,112.85001865774393,28.67,,31.58,28.42,3.4,7.92,1.0,1,0.0,0.0,1.0,0.9997207522392273,0.0027147557120770216,0.1531192660331726,0.0002779373317025602,49.14286422729492,61.287109375,0.6462137511513022,0.00013381729240791174,,,,-0.03846050426363945,1.6201833486557007,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
2,2026-09-11T16:25:18,0,,0.0,0.0078125,,,-0.006592378485947847,1e-06,0.22924639657139778,0.30151110887527466,-4.032588367408607e-05,7.355683874266106e-05,,,-0.390625,0.9205498951034647,1.0,-1.0,-0.03398750349879265,,-2.474870204925537,2.474870204925537,16,8.0,16,0,6,10,6,0.0,0.375,0.625,0.375,10,0.625,0.5324300854847167,,,,,,1893.9453125,,,5810.0,,,261953.0,682.7243848520828,38.36497286334634,9.50697162374854,9.413030993193388,0.1192084327340126,,34.511201310902834,3.979740086942911,,95.92194369062781,40.0,,19.72,35.98,4.15,0.15,2.0,2,0.0,0.0,1.0,0.9996011257171631,0.0026025862898677588,0.3117634057998657,0.00028005181229673326,50.619319915771484,63.259765625,0.6628128393673893,0.00029046120198472636,,,,-0.03398750349879265,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
3,2026-09-11T16:25:18,0,,0.0,0.0078125,,,-0.001252222602488473,1e-06,0.20384161174297333,0.34873953461647034,1.9649472960736603e-05,5.0621320042409934e-05,,,-0.46875,0.8833308765689106,1.0,-1.0,0.002764355856925249,,-2.474870204925537,2.474870204925537,16,8.0,16,0,8,8,8,0.0,0.5,0.5,0.5,8,0.5,0.4285902212493325,,,,,,1903.296875,,,6479.0,,,271630.0,667.7064718441627,42.36694860458374,9.822488375008106,9.709256526082754,0.11779788881540298,,35.65604218095541,4.002439811825752,,101.70262362807989,41.66,,19.2,35.06,3.94,0.14,3.0,3,0.0,0.0,1.0,0.9996699690818787,0.0030214653816074133,0.24050483107566833,0.0003344349388498813,50.619319915771484,63.33984375,0.6670759918119415,0.000322564903399325,,,,0.002764355856925249,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
4,2026-09-11T16:25:18,0,,0.0,0.0078125,,,0.018003907884121872,1e-06,0.2917435020208359,0.33751043677330017,1.8230801060781232e-05,6.98946125794464e-05,,,-0.171875,0.9851187666342571,1.0,-1.0,-0.049005959182977676,,-2.474870204925537,2.474870204925537,16,8.0,16,0,3,13,3,0.0,0.1875,0.8125,0.1875,13,0.8125,0.6820139557879396,,,,,,1728.671875,,,7221.0,,,239998.0,629.3605347237258,42.368986647576094,8.681823652237654,8.509627468883991,0.1168784499168396,,31.658992283046246,3.9756434559822083,,95.33406797796488,44.44,,18.03,33.21,4.17,0.15,4.0,4,0.0,0.0,1.0,0.9995917677879333,0.002861914923414588,0.12351739406585693,0.0002312159922439605,50.619319915771484,63.33984375,0.6637113496849976,0.0003465832651272649,,,,-0.049005959182977676,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
5,2026-09-11T16:25:18,0,,0.0,0.0078125,,,0.022613692097365856,1e-06,0.27071399986743927,0.30889633297920227,-3.934273081540596e-06,0.00022069147689762758,,,-0.015625,0.9998779222360098,1.0,-1.0,-0.019368205219507217,,-2.474870204925537,2.474870204925537,16,8.0,16,2,0,14,2,0.125,0.0,0.875,0.125,14,0.875,0.7445139557879396,,,,,,1651.2578125,,,4637.0,,,230473.0,712.9416481466069,30.351020012050867,8.285944379866123,8.101864971220493,0.10830960050225258,,30.083151761442423,3.8647220581769943,,80.81762392446399,37.55,,20.28,37.22,4.78,0.16,5.0,5,0.0,0.0,1.0,0.9995770454406738,0.002681904239580035,0.15483933687210083,0.00031492148991674185,50.619319915771484,63.33984375,0.6641193187377898,0.0003511232953314902,,,,-0.019368205219507217,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
6,2026-09-11T16:25:18,0,,0.0,0.0078125,,,-0.006975622454774566,1e-06,0.31178002804517746,0.33723482489585876,1.0602111615298782e-06,0.0001300071091918653,,,-0.25,0.9682458365518543,1.0,-1.0,0.024075794965028763,,-2.474870204925537,2.474870204925537,16,8.0,16,0,3,13,3,0.0,0.1875,0.8125,0.1875,13,0.8125,0.6948006792890827,,,,,,1597.578125,,,5105.0,,,225738.0,688.9130016208451,32.357603911310434,8.133903097361326,7.9839140586555,0.10736361518502235,,29.452650301158428,3.8586319647729397,,81.9181810580194,39.5,,19.68,35.95,4.71,0.16,6.0,6,0.0,0.0,1.0,0.9996770024299622,0.0028611391317099333,0.48589712381362915,0.0003434655664023012,50.619319915771484,63.33984375,0.6635225411605211,0.0004886806109425379,,,,0.024075794965028763,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
7,2026-09-11T16:25:18,0,,0.0,0.0078125,,,0.02815745130646974,1e-06,0.23024407029151917,0.2996000349521637,2.7986899798548848e-05,0.0001232036556757521,,,-0.046875,0.9989007630265381,1.0,-1.0,-0.021214056760072708,,-2.474870204925537,2.474870204925537,16,8.0,16,1,4,11,5,0.0625,0.25,0.6875,0.3125,11,0.6875,0.5378384552388329,,,,,,1868.2421875,,,8192.0,,,257647.0,611.7754526406089,48.3709914945066,9.33235689252615,9.15759003534913,0.11774291470646858,,34.203361846506596,4.080916494131088,,105.28658794984221,45.94,,17.56,32.49,3.88,0.13,7.0,7,0.0,0.0,1.0,0.999579906463623,0.0025458303280174732,0.20581704378128052,0.00028310579364188015,51.01824998855591,63.6328125,0.6621156193991983,0.0005005522125429707,,,,-0.021214056760072708,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
8,2026-09-11T16:25:18,0,,5.85617226533941e-06,0.0078125,,,0.02035973174497485,1e-06,0.3267136514186859,0.329150915145874,-7.735285180388018e-06,0.00014260995976655977,,,0.03125,0.9995115994824673,1.0,-1.0,0.0028114912565797567,,-2.474870204925537,2.474870204925537,16,8.0,16,3,2,11,5,0.1875,0.125,0.6875,0.3125,11,0.6875,0.5570231251931558,,,,,,1745.75,,,8192.0,,,241688.0,600.1274946067773,46.37503897771239,8.869323007762432,8.660178579390049,0.12430528178811073,,32.565527740865946,4.063411075621843,,100.68193932622671,46.06,,17.41,32.34,4.04,0.15,8.0,8,0.0,0.0,1.0,0.9994533658027649,0.002661024685949087,0.9051482677459717,0.00030183547642081976,51.01824998855591,63.6328125,0.6507687136780886,0.0007111612212611362,,,,0.0028114912565797567,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
9,2026-09-11T16:25:18,0,,0.0,0.0078125,,,0.03330570738762617,1e-06,0.21992754191160202,0.2975699007511139,-1.654883180890465e-05,0.00015975177393556805,,,0.03125,0.9995115994824673,1.0,-1.0,-0.06366139650344849,,-2.474870204925537,2.474870204925537,16,8.0,16,2,3,11,5,0.125,0.1875,0.6875,0.3125,11,0.6875,0.5698006792890827,,,,,,1972.4921875,,,6169.0,,,270847.0,694.6801874569859,38.3571104221046,9.813509605824947,9.620117612183094,0.10661210492253304,,35.40944502875209,4.135234780609608,,97.47183124348521,39.35,,19.94,36.33,4.24,0.14,9.0,9,0.0,0.0,1.0,0.999571681022644,0.002678940072655678,0.2592795193195343,0.00033469797926954925,51.01824998855591,63.6328125,0.6683221320547537,0.0007676118439121637,,,,-0.06366139650344849,2.474870204925537,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
10,2026-09-11T16:25:18,0,0.44866666666666666,0.0,0.0078125,,497.6837468370795,-0.011403625074308366,1e-06,0.21653076261281967,0.3102119266986847,-3.492479675060167e-05,6.492622014775407e-05,,,0.09375,0.9955957701296244,1.0,-1.0,-0.025526445358991623,,-2.474870204925537,1.6201833486557007,16,8.0,16,3,5,8,8,0.1875,0.3125,0.5,0.5,8,0.5,0.40743925488993293,,,,,,1730.421875,,,7415.0,,,242862.0,619.2104821320466,44.37116274237633,8.810684692114592,8.662565302103758,0.11962314695119858,,32.08560228720307,3.9773192778229713,,98.05308816954494,45.25,,17.82,32.72,4.06,0.15,10.0,10,0.0,0.0,1.0,0.9996848106384277,0.0027602899353951216,0.22685480117797852,0.00040560661000199616,51.01824998855591,63.6328125,0.6622653999993371,0.0009239788196282461,,,,-0.025526445358991623,1.6201833486557007,-2.474870204925537,,,,,87.374,92.597,92.489,92.489
