cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
10.8,3.08,1.27,95.577,87.159,500.0,456.1,51,100,50,95.577,92.452,500.0,456.3,50,100,49,95.577,92.585,500.0,449.6,49,100,49,95.577,92.583,500.0,456.9,52,100,49,2026-09-11T17:12:43,14.17529296875,1039.38,1239.42,200.03,,1789117963.4248378
10.7,3.08,1.27,95.577,87.159,500.0,477.5,52,100,53,95.577,92.452,500.0,477.4,51,100,54,95.577,92.585,500.0,473.0,50,100,54,95.577,92.583,500.0,482.3,52,100,53,2026-09-11T17:12:53,13.9140625,1039.37,1239.42,200.05,,1789117973.4249153
9.7,3.08,1.27,95.577,87.159,500.0,469.0,52,100,52,95.577,92.452,500.0,468.3,51,100,52,95.577,92.585,500.0,343.7,48,100,11,95.577,92.583,500.0,349.0,50,100,11,2026-09-11T17:13:03,13.6259765625,1039.34,1239.42,200.08,,1789117983.4249895
10.2,3.08,1.27,95.577,87.159,500.0,344.0,50,100,11,95.577,92.452,500.0,343.3,49,100,11,95.577,92.585,500.0,464.0,48,100,51,95.577,92.583,500.0,469.3,51,100,52,2026-09-11T17:13:13,13.5361328125,1039.28,1239.42,200.13,,1789117993.425067
9.4,3.08,1.27,95.577,87.159,500.0,466.7,51,100,50,95.577,92.452,500.0,462.5,49,100,50,95.577,92.585,500.0,460.5,49,100,51,95.577,92.583,500.0,468.2,51,100,51,2026-09-11T17:13:23,13.2197265625,1039.28,1239.42,200.14,,1789118003.4251463
9.9,3.08,1.27,95.577,87.159,500.0,464.4,51,100,50,95.577,92.452,500.0,460.0,50,100,50,95.577,92.585,500.0,468.6,49,100,53,95.577,92.583,500.0,474.5,52,100,53,2026-09-11T17:13:33,13.03173828125,1039.26,1239.42,200.16,,1789118013.4252224
9.9,3.08,1.27,95.577,87.159,500.0,462.9,51,100,50,95.577,92.452,500.0,459.9,51,100,50,95.577,92.585,500.0,458.5,49,100,52,95.577,92.583,500.0,463.5,52,100,52,2026-09-11T17:13:43,13.03955078125,1039.24,1239.42,200.17,,1789118023.425298
9.3,3.08,1.27,95.577,87.159,500.0,458.4,51,100,51,95.577,92.452,500.0,459.0,51,100,51,95.577,92.585,500.0,456.1,49,100,53,95.577,92.583,500.0,460.6,51,100,53,2026-09-11T17:13:53,12.96630859375,1039.24,1239.42,200.18,,1789118033.425375
10.0,3.08,1.27,95.577,87.159,500.0,458.8,51,100,52,95.577,92.452,500.0,462.0,51,100,52,95.577,92.585,500.0,473.5,49,100,57,95.577,92.583,500.0,478.1,52,100,57,2026-09-11T17:14:03,12.83056640625,1039.23,1239.42,200.19,,1789118043.425451
10.2,3.08,1.27,95.577,87.159,500.0,470.1,51,100,54,95.577,92.452,500.0,473.9,51,100,54,95.577,92.585,500.0,427.1,48,100,51,95.577,92.583,500.0,431.4,50,100,51,2026-09-11T17:14:13,12.7890625,1039.2,1239.42,200.22,,1789118053.4255233
