USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     528609 45.3  2.1 1015332060 27938132 ? SNl  16:49  17:33 ray::WorkerDict
root     528608 45.7  2.1 1021025964 27899116 ? SNl  16:49  17:41 ray::WorkerDict
root     528611 46.0  2.1 1020568944 27788892 ? SNl  16:49  17:49 ray::WorkerDict
root     528610 45.7  2.1 1020504312 27776408 ? SNl  16:49  17:42 ray::WorkerDict
root     530299  100  0.2 492996428 2829724 ?   RNl  16:50  37:30 VLLM::Worker_TP0
root     530312 54.7  0.2 492926732 2802580 ?   RNl  16:50  20:30 VLLM::Worker_TP1
root     530300 53.1  0.2 492798164 2776412 ?   RNl  16:50  19:54 VLLM::Worker_TP1
root     530311  103  0.2 493043284 2775732 ?   RNl  16:50  38:39 VLLM::Worker_TP0
root     529925  9.2  0.1 230404664 1870208 ?   SNl  16:50   3:28 ray::vLLMHttpServer
root     529928  8.5  0.1 230388472 1858648 ?   SNl  16:50   3:14 ray::vLLMHttpServer
root     527407  1.5  0.1 201930840 1382444 ?   SNl  16:49   0:36 ray::TaskRunnerV1.run
root     531236  1.4  0.0 217463916 1299284 ?   SNl  16:51   0:31 ray::AgentLoopWorkerTQ
root     531240  1.4  0.0 217240492 1298548 ?   SNl  16:51   0:31 ray::AgentLoopWorkerTQ
root     531243  1.3  0.0 217233440 1295740 ?   SNl  16:51   0:30 ray::AgentLoopWorkerTQ
root     531185  1.4  0.0 217395288 1292196 ?   SNl  16:51   0:31 ray::AgentLoopWorkerTQ
root     531221  1.3  0.0 217590708 1292040 ?   SNl  16:51   0:29 ray::AgentLoopWorkerTQ
root     531233  1.3  0.0 217214964 1290104 ?   SNl  16:51   0:30 ray::AgentLoopWorkerTQ
root     531245  1.4  0.0 216992688 1284132 ?   SNl  16:51   0:31 ray::AgentLoopWorkerTQ
root     530216 49.0  0.0 23444808 1282692 ?    RNl  16:50  18:23 VLLM::EngineCore
root     531244  1.4  0.0 217321428 1282648 ?   SNl  16:51   0:31 ray::AgentLoopWorkerTQ
root     530226 50.7  0.0 23445132 1280988 ?    RNl  16:50  19:00 VLLM::EngineCore
root     531013  1.0  0.0 197946688 1050412 ?   SNl  16:51   0:22 ray::GlobalRequestLoadBalancer
root     529524  0.7  0.0 197439000 926268 ?    SNl  16:50   0:16 ray::RewardLoopWorker
root     529526  0.7  0.0 197440028 925892 ?    SNl  16:50   0:17 ray::RewardLoopWorker
root     529427  0.7  0.0 197292592 925436 ?    SNl  16:50   0:16 ray::RewardLoopWorker
root     529527  0.7  0.0 197365324 923980 ?    SNl  16:50   0:17 ray::RewardLoopWorker
root     529486  0.7  0.0 197292756 923808 ?    SNl  16:50   0:16 ray::RewardLoopWorker
root     529523  0.7  0.0 197292652 923332 ?    SNl  16:50   0:17 ray::RewardLoopWorker
root     529525  0.7  0.0 197292576 923308 ?    SNl  16:50   0:17 ray::RewardLoopWorker
root     529520  0.7  0.0 197292508 922824 ?    SNl  16:50   0:17 ray::RewardLoopWorker
root     522820  1.5  0.0 3121352 907844 ?      Sl   16:49   0:36 /root/autodl-tmp/rl_lab/repos/verl/.venv/lib/python3.12/site-packages/ray/core/src/ray/gcs/gcs_server --log_dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744/logs --config_list=eyJhdXRvbWF0aWNfb2JqZWN0X3NwaWxsaW5nX2VuYWJsZWQiOiB0cnVlLCAib2JqZWN0X3NwaWxsaW5nX2NvbmZpZyI6ICJ7XCJ0eXBlXCI6IFwiZmlsZXN5c3RlbVwiLCBcInBhcmFtc1wiOiB7XCJkaXJlY3RvcnlfcGF0aFwiOiBcIi9yb290L2F1dG9kbC10bXAvcmxfbGFiL3RtcC9yYXkvcmF5L3Nlc3Npb25fMjAyNi0wOS0xMV8xNi00OS0wNl8xNjM4MTBfNTIyNzQ0XCJ9fSIsICJpc19leHRlcm5hbF9zdG9yYWdlX3R5cGVfZnMiOiB0cnVlfQ== --gcs_server_port=0 --metrics-agent-port=0 --node-ip-address=172.17.0.3 --session-name=session_2026-09-11_16-49-06_163810_522744 --ray-commit=237c2455ebb1ea15a32dd9e1fdeb2d617badc37f --session-dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744 --node-id=c2669e5d61c70a187d3b8205537beeecdd92b51d7ac1abdcc67268d3 --stdout_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744/logs/gcs_server.out --stderr_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744/logs/gcs_server.err
