USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     528609 39.8  2.1 1015332060 27939000 ? SNl  16:49  20:45 ray::WorkerDict
root     528608 40.1  2.1 1021025964 27900364 ? SNl  16:49  20:53 ray::WorkerDict
root     528611 40.4  2.1 1020568944 27791704 ? SNl  16:49  21:02 ray::WorkerDict
root     528610 40.2  2.1 1020504312 27777032 ? SNl  16:49  20:55 ray::WorkerDict
root     530299  113  0.2 493803340 2850556 ?   RNl  16:50  57:42 VLLM::Worker_TP0
root     530312 60.4  0.2 493309708 2792740 ?   RNl  16:50  30:39 VLLM::Worker_TP1
root     530311  115  0.2 493446740 2786360 ?   RNl  16:50  58:33 VLLM::Worker_TP0
root     530300 59.5  0.2 493584596 2776612 ?   RNl  16:50  30:13 VLLM::Worker_TP1
root     529925 11.0  0.1 230795832 2217340 ?   SNl  16:50   5:37 ray::vLLMHttpServer
root     529928 10.1  0.1 230786808 2216048 ?   SNl  16:50   5:12 ray::vLLMHttpServer
root     527407  1.3  0.1 201949004 1344084 ?   SNl  16:49   0:43 ray::TaskRunnerV1.run
root     530216 55.9  0.1 23467736 1305596 ?    RNl  16:50  28:28 VLLM::EngineCore
root     531236  1.3  0.1 218758372 1305372 ?   SNl  16:51   0:40 ray::AgentLoopWorkerTQ
root     530226 56.9  0.1 23465796 1303456 ?    RNl  16:50  28:56 VLLM::EngineCore
root     531240  1.3  0.1 218469412 1302804 ?   SNl  16:51   0:40 ray::AgentLoopWorkerTQ
root     531243  1.3  0.1 218495208 1301284 ?   SNl  16:51   0:39 ray::AgentLoopWorkerTQ
root     531233  1.3  0.0 218346668 1298220 ?   SNl  16:51   0:39 ray::AgentLoopWorkerTQ
root     531221  1.2  0.0 218434624 1296532 ?   SNl  16:51   0:38 ray::AgentLoopWorkerTQ
root     531185  1.3  0.0 218697924 1296436 ?   SNl  16:51   0:40 ray::AgentLoopWorkerTQ
root     531244  1.3  0.0 218625136 1292244 ?   SNl  16:51   0:41 ray::AgentLoopWorkerTQ
root     531245  1.3  0.0 218206256 1291524 ?   SNl  16:51   0:40 ray::AgentLoopWorkerTQ
root     531013  0.9  0.0 197947132 1051228 ?   SNl  16:51   0:28 ray::GlobalRequestLoadBalancer
root     606728  0.0  0.0 201951992 1000824 ?   SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606744  0.0  0.0 201952000 982720 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606752  0.0  0.0 201952012 982720 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606760  0.0  0.0 201952024 982720 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606768  0.0  0.0 201952036 982716 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606776  0.0  0.0 201952048 982716 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606784  0.0  0.0 201952060 982716 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     606736  0.0  0.0 201951988 982692 ?    SNl  17:33   0:00 ray::TaskRunnerV1.run
root     522820  1.5  0.0 3149000 938380 ?      Sl   16:49   0:49 /root/autodl-tmp/rl_lab/repos/verl/.venv/lib/python3.12/site-packages/ray/core/src/ray/gcs/gcs_server --log_dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744/logs --config_list=eyJhdXRvbWF0aWNfb2JqZWN0X3NwaWxsaW5nX2VuYWJsZWQiOiB0cnVlLCAib2JqZWN0X3NwaWxsaW5nX2NvbmZpZyI6ICJ7XCJ0eXBlXCI6IFwiZmlsZXN5c3RlbVwiLCBcInBhcmFtc1wiOiB7XCJkaXJlY3RvcnlfcGF0aFwiOiBcIi9yb290L2F1dG9kbC10bXAvcmxfbGFiL3RtcC9yYXkvcmF5L3Nlc3Npb25fMjAyNi0wOS0xMV8xNi00OS0wNl8xNjM4MTBfNTIyNzQ0XCJ9fSIsICJpc19leHRlcm5hbF9zdG9yYWdlX3R5cGVfZnMiOiB0cnVlfQ== --gcs_server_port=0 --metrics-agent-port=0 --node-ip-address=172.17.0.3 --session-name=session_2026-09-11_16-49-06_163810_522744 --ray-commit=237c2455ebb1ea15a32dd9e1fdeb2d617badc37f --session-dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744 --node-id=c2669e5d61c70a187d3b8205537beeecdd92b51d7ac1abdcc67268d3 --stdout_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744/logs/gcs_server.out --stderr_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_16-49-06_163810_522744/logs/gcs_server.err
root     529524  0.6  0.0 197512748 929816 ?    SNl  16:50   0:21 ray::RewardLoopWorker
root     529526  0.7  0.0 197661272 929488 ?    SNl  16:50   0:22 ray::RewardLoopWorker
root     529523  0.7  0.0 197440148 927836 ?    SNl  16:50   0:22 ray::RewardLoopWorker
root     529527  0.7  0.0 197439072 927764 ?    SNl  16:50   0:21 ray::RewardLoopWorker
root     529427  0.6  0.0 197440088 927628 ?    SNl  16:50   0:20 ray::RewardLoopWorker
root     529525  0.7  0.0 197292576 926876 ?    SNl  16:50   0:21 ray::RewardLoopWorker
root     529520  0.7  0.0 197292508 926548 ?    SNl  16:50   0:22 ray::RewardLoopWorker
root     529486  0.6  0.0 197292756 926020 ?    SNl  16:50   0:20 ray::RewardLoopWorker
