cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
9.5,3.08,1.27,95.577,86.636,500.0,416.4,47,100,44,95.577,91.931,500.0,417.9,46,100,45,95.577,92.054,500.0,421.6,45,100,45,95.577,92.054,500.0,424.7,48,100,45,2026-09-11T17:31:43,10.10498046875,1040.44,1239.42,198.98,,1789119103.4331937
11.1,3.08,1.27,95.577,86.636,500.0,436.6,49,100,52,95.577,91.931,500.0,434.5,48,100,52,95.577,92.054,500.0,441.0,46,100,53,95.577,92.054,500.0,444.4,49,100,53,2026-09-11T17:31:53,10.4833984375,1040.44,1239.42,198.98,,1789119113.4332664
9.7,3.08,1.27,95.577,86.636,500.0,409.0,48,100,47,95.577,91.931,500.0,412.7,47,100,47,95.577,92.054,500.0,390.5,45,100,46,95.577,92.054,500.0,396.4,48,100,46,2026-09-11T17:32:03,10.47607421875,1040.45,1239.42,198.97,,1789119123.4333367
9.9,3.08,1.27,95.577,86.636,500.0,399.4,48,100,58,95.577,91.931,500.0,394.6,47,100,58,95.577,92.054,500.0,379.3,45,100,46,95.577,92.054,500.0,385.9,47,100,46,2026-09-11T17:32:13,10.8642578125,1040.46,1239.42,198.96,,1789119133.4334083
9.3,3.08,1.27,95.577,86.638,500.0,398.3,47,100,60,95.577,91.933,500.0,400.8,46,100,60,95.577,92.054,500.0,380.9,45,100,53,95.577,92.054,500.0,386.4,47,100,53,2026-09-11T17:32:23,10.9658203125,1040.47,1239.42,198.95,,1789119143.4334815
8.8,3.08,1.27,95.577,86.638,500.0,121.6,41,0,0,95.577,91.933,500.0,121.0,40,0,0,95.577,92.056,500.0,403.0,45,100,59,95.577,92.056,500.0,407.9,48,100,59,2026-09-11T17:32:33,10.81103515625,1040.47,1239.42,198.94,,1789119153.4335551
6.8,3.08,1.27,95.577,43.025,500.0,322.6,46,91,11,95.577,48.222,500.0,322.2,45,86,13,95.577,48.32,500.0,321.3,45,89,16,95.577,48.339,500.0,330.2,48,91,16,2026-09-11T17:32:43,10.3046875,1040.4,1239.42,199.02,,1789119163.433625
6.0,3.08,1.27,95.577,45.505,500.0,324.3,46,99,13,95.577,50.8,500.0,322.8,45,99,12,95.577,50.8,500.0,320.7,44,99,12,95.577,50.82,500.0,332.2,47,99,12,2026-09-11T17:32:53,9.79638671875,1040.38,1239.42,199.04,,1789119173.4336994
6.6,3.08,1.27,95.577,51.423,500.0,332.9,46,99,13,95.577,52.968,500.0,328.2,45,99,16,95.577,52.968,500.0,327.8,44,99,21,95.577,52.988,500.0,326.9,47,99,20,2026-09-11T17:33:03,9.98828125,1040.34,1239.42,199.08,,1789119183.4337723
6.5,3.08,1.27,95.577,70.29,500.0,323.2,46,99,12,95.577,76.054,500.0,325.4,45,99,13,95.577,75.605,500.0,323.5,44,99,13,95.577,75.585,500.0,329.0,47,99,13,2026-09-11T17:33:13,9.68212890625,1040.3,1239.42,199.12,,1789119193.4338458
