global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T17:28:19,0,,0.0,0.0078125,,,2.18292698264122e-05,1e-06,0.29819247871637344,0.3596108555793762,2.7647613677572735e-05,0.0,,,-0.28125,0.9596345332990055,1.0,-1.0,-0.04832560941576958,,-2.474870204925537,1.6201833486557007,16,8.0,16,0,6,10,6,0.0,0.375,0.625,0.375,10,0.625,0.5535902212493324,,,,,,1715.546875,,,5667.0,,,240646.0,509.7044054623678,36.36331460997462,9.52357416599989,26.09455220401287,0.11684190854430199,,32.42076966911554,4.488676331937313,,118.03213657811284,30.81,,30.18,27.47,3.8,7.74,1.0,1,0.0,0.0,1.0,0.9995824098587036,0.002800953108817339,0.2816830277442932,0.0003770443145185709,49.34739685058594,61.8984375,0.6382238810729632,0.0001495243195677176,,,,-0.04832560941576958,1.6201833486557007,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
2,2026-09-11T17:28:19,0,,0.0,0.0078125,,,2.1859072148799896e-05,1e-06,0.28609585016965866,0.3281225860118866,-8.124410214804811e-06,0.0,,,-0.34375,0.939061200082295,1.0,-1.0,-0.052524469792842865,,-2.474870204925537,2.474870204925537,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.6431027675747167,,,,,,1980.2109375,,,7124.0,,,272995.0,640.0630941173077,46.36067743226886,9.930241085588932,9.795869134366512,0.1286923848092556,,36.25351745635271,4.13485723733902,,106.62815998494625,43.48,,18.5,34.0,3.88,0.14,2.0,2,0.0,0.0,1.0,0.9995988011360168,0.0027582133188843727,0.1312848925590515,0.00027105191838927567,51.131547927856445,64.537109375,0.6596574563644788,0.0003083568790316349,,,,-0.052524469792842865,2.474870204925537,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
3,2026-09-11T17:28:19,0,,0.0,0.0078125,,,-2.5318004190921783e-06,1e-06,0.20529603213071823,0.32951104640960693,-7.550313211979187e-06,0.0,,,-0.421875,0.9066540047752505,1.0,-1.0,0.006957321893423796,,-2.474870204925537,1.6201833486557007,16,8.0,16,1,8,7,9,0.0625,0.5,0.4375,0.5625,7,0.4375,0.4039971815408934,,,,,,1908.0078125,,,4724.0,,,272233.0,723.6404605101513,34.34873641654849,9.826712314039469,9.703232690691948,0.11752096563577652,,35.842740178108215,4.179545473307371,,94.04981301352382,36.52,,20.77,38.11,4.44,0.16,3.0,3,0.0,0.0,1.0,0.999559223651886,0.002975640119984746,0.17419850826263428,0.00029700755840167403,51.131547927856445,64.537109375,0.6646728706995488,0.00032789536453492474,,,,0.006957321893423796,1.6201833486557007,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
4,2026-09-11T17:28:19,0,,0.0,0.0078125,,,3.077089786529541e-06,1e-06,0.30574583262205124,0.30058857798576355,1.3192237588555145e-05,0.0,,,0.125,0.9921567416492215,1.0,-1.0,-0.033540789037942886,,-2.474870204925537,2.474870204925537,16,8.0,16,3,1,12,4,0.1875,0.0625,0.75,0.25,12,0.75,0.5983721588337563,,,,,,1655.3359375,,,7431.0,,,230611.0,616.3087316727899,42.38257471844554,8.357996676117182,8.204223208129406,0.14878856763243675,,30.41624179854989,4.012373987585306,,93.5452428907156,45.31,,17.71,32.52,4.29,0.18,4.0,4,0.0,0.0,1.0,0.9995247721672058,0.002744288183748722,0.12435367703437805,0.0003540929174050689,51.131547927856445,64.537109375,0.6622237066685881,0.0006324327896436444,,,,-0.033540789037942886,2.474870204925537,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
5,2026-09-11T17:28:19,0,,0.0,0.0078125,,,-2.7043279260396957e-06,1e-06,0.2906282767653465,0.28906023502349854,-3.4992538076039637e-06,0.0,,,-0.03125,0.9995115994824673,1.0,-1.0,-0.08889801055192947,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.8399804077598512,,,,,,1783.2265625,,,7291.0,,,247365.0,625.064626948032,44.36705997958779,8.959021624177694,8.751422226428986,0.12706473097205162,,32.59229459986091,4.113446865230799,,98.93576973304152,44.84,,17.9,32.94,4.16,0.15,5.0,5,0.0,0.0,1.0,0.9995711445808411,0.0026791540440171957,0.1846228539943695,0.00033896975219249725,51.131547927856445,64.537109375,0.6619447947062043,0.00042634352030290756,,,,-0.08889801055192947,2.474870204925537,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
6,2026-09-11T17:28:19,0,,0.0,0.0078125,,,1.1944212019443512e-06,1e-06,0.269453726708889,0.3046393394470215,-4.130849839611983e-05,0.0,,,-0.21875,0.9757809372497497,1.0,-1.0,-0.05840437114238739,,-2.474870204925537,2.474870204925537,16,8.0,16,1,4,11,5,0.0625,0.25,0.6875,0.3125,11,0.6875,0.5929454502692076,,,,,,1564.75,,,5201.0,,,221536.0,682.0814957317891,32.341938603669405,7.943186320364475,7.794440150260925,0.11306816712021828,,29.091144733130932,3.890778671950102,,81.19850831106305,39.83,,19.38,35.83,4.79,0.17,6.0,6,0.0,0.0,1.0,0.9995774030685425,0.0027906422037631273,0.1782553791999817,0.000288737122900784,51.131547927856445,64.537109375,0.6583665392805763,0.0005135694718774175,,,,-0.05840437114238739,2.474870204925537,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
7,2026-09-11T17:28:19,0,,0.0,0.0078125,,,8.215196430683136e-06,1e-06,0.2232930213212967,0.27724477648735046,-1.8256872635902255e-06,0.0,,,0.09375,0.9955957701296244,1.0,-1.0,-0.02775111235678196,,-2.474870204925537,2.474870204925537,16,8.0,16,4,3,9,7,0.25,0.1875,0.5625,0.4375,9,0.5625,0.45516789617328063,,,,,,1647.703125,,,7046.0,,,229418.0,639.9358080741039,38.42628110945225,8.365840673446655,8.183525323867798,0.13693717494606972,,30.558767665177584,3.928975250571966,,89.62539566680789,42.87,,18.47,34.1,4.38,0.18,7.0,7,0.0,0.0,1.0,0.9995156526565552,0.0025789099745452404,0.12245863676071167,0.0002658386074472219,51.131547927856445,64.537109375,0.6539233951976748,0.0005539089615922421,,,,-0.02775111235678196,2.474870204925537,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
8,2026-09-11T17:28:19,0,,0.0,0.0078125,,,-7.102731615304947e-06,1e-06,0.21761707216501236,0.31749212741851807,-2.466532852452019e-05,0.0,,,-0.046875,0.9989007630265381,1.0,-1.0,-0.0005225400091148913,,-1.6201833486557007,1.6201833486557007,16,8.0,16,5,5,6,10,0.3125,0.3125,0.375,0.625,6,0.375,0.3395217157306005,,,,,,1701.09375,,,8192.0,,,235972.0,570.5811226618572,50.37770942226052,8.639369625598192,8.427687358111143,0.16055474802851677,,31.532809037715197,4.226243961602449,,103.39108262956142,48.73,,16.51,30.5,4.09,0.18,8.0,8,0.0,0.0,1.0,0.9996010661125183,0.0026629604399204254,0.31757450103759766,0.0003271365421824157,51.131547927856445,64.537109375,0.6532980914477466,0.0007406291006191168,,,,-0.0005225400091148913,1.6201833486557007,-1.6201833486557007,,,,,87.159,92.454,92.585,92.585
9,2026-09-11T17:28:19,0,,0.0,0.0078125,,,-2.3178057745099068e-05,1e-06,0.22114261984825134,0.2798762917518616,3.0999897603578574e-05,0.0,,,-0.203125,0.9791528146183311,1.0,-1.0,-0.0012079309672117233,,-2.474870204925537,2.474870204925537,16,8.0,16,1,3,12,4,0.0625,0.1875,0.75,0.25,12,0.75,0.6558894910758599,,,,,,1923.3515625,,,5543.0,,,264557.0,701.6072140708054,36.3521593362093,9.538894940167665,9.411139287054539,0.1196264959871769,,34.71122531592846,4.111700814217329,,94.26820117235184,38.56,,20.1,36.82,4.36,0.15,9.0,9,0.0,0.0,1.0,0.99958336353302,0.0027530589140951633,0.36602649092674255,0.0003056134155485779,51.131547927856445,64.537109375,0.6658485934617832,0.0008157722841133364,,,,-0.0012079309672117233,2.474870204925537,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
10,2026-09-11T17:28:19,0,0.4553333333333333,0.0,0.0078125,,456.364738561213,1.330394297838211e-06,1e-06,0.2814696952700615,0.26776599884033203,3.456394586009992e-05,0.0,,,0.078125,0.9969435713093294,1.0,-1.0,-0.000978033640421927,,-2.474870204925537,1.2076135873794556,16,8.0,16,3,5,8,8,0.1875,0.3125,0.5,0.5,8,0.5,0.422201444201369,,,,,,1720.484375,,,6736.0,,,241590.0,615.7175569236986,44.37108999863267,8.788399755954742,8.592128906399012,0.12877467274665833,,32.03460555151105,4.153894476592541,,98.09286631643772,45.23,,17.72,32.66,4.23,0.16,10.0,10,0.0,0.0,1.0,0.9996401071548462,0.002737964503467083,0.23105821013450623,0.0002730285341385752,51.131547927856445,64.537109375,0.6592941775851245,0.0012671716722252313,,,,-0.000978033640421927,1.2076135873794556,-2.474870204925537,,,,,87.159,92.454,92.585,92.585
