cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
11.0,3.08,1.27,95.577,87.706,500.0,452.6,50,100,44,95.577,92.929,500.0,452.3,49,100,44,95.577,92.445,500.0,471.0,49,100,52,95.577,92.445,500.0,472.3,51,100,52,2026-09-11T18:07:34,12.8251953125,1038.72,1239.42,200.7,,1789121254.0911796
10.4,3.08,1.27,95.577,87.706,500.0,453.0,50,100,45,95.577,92.929,500.0,454.5,50,100,45,95.577,92.445,500.0,462.5,49,100,51,95.577,92.445,500.0,468.9,51,100,51,2026-09-11T18:07:44,17.56640625,1038.71,1239.42,200.71,,1789121264.0912523
9.9,3.08,1.27,95.577,87.706,500.0,442.4,50,100,45,95.577,92.929,500.0,442.0,50,100,45,95.577,92.445,500.0,464.8,49,100,52,95.577,92.445,500.0,470.9,51,100,52,2026-09-11T18:07:54,19.98779296875,1038.7,1239.42,200.72,,1789121274.091293
9.9,3.08,1.27,95.577,87.706,500.0,449.8,50,100,46,95.577,92.929,500.0,450.0,50,100,46,95.577,92.445,500.0,473.6,49,100,55,95.577,92.445,500.0,478.7,51,100,55,2026-09-11T18:08:04,18.84619140625,1038.7,1239.42,200.72,,1789121284.091366
10.1,3.08,1.27,95.577,87.706,500.0,449.1,50,100,47,95.577,92.929,500.0,448.6,50,100,48,95.577,92.445,500.0,433.8,48,100,51,95.577,92.445,500.0,439.9,50,100,51,2026-09-11T18:08:14,18.107421875,1038.68,1239.42,200.73,,1789121294.0914373
9.5,3.08,1.27,95.577,87.706,500.0,451.9,50,100,49,95.577,92.929,500.0,453.4,50,100,50,95.577,92.445,500.0,461.3,49,100,56,95.577,92.445,500.0,466.3,51,100,56,2026-09-11T18:08:24,17.2607421875,1038.67,1239.42,200.74,,1789121304.0915086
9.9,3.08,1.27,95.577,87.706,500.0,445.6,50,100,49,95.577,92.929,500.0,450.5,50,100,49,95.577,92.445,500.0,438.3,48,100,53,95.577,92.445,500.0,446.3,50,100,53,2026-09-11T18:08:34,16.4580078125,1038.67,1239.42,200.74,,1789121314.0915804
10.0,3.08,1.27,95.577,87.706,500.0,459.7,51,100,52,95.577,92.929,500.0,459.1,50,100,52,95.577,92.445,500.0,406.4,47,100,47,95.577,92.445,500.0,411.8,49,100,47,2026-09-11T18:08:44,15.6982421875,1038.67,1239.42,200.75,,1789121324.0916529
9.4,3.08,1.27,95.577,87.706,500.0,454.6,50,100,51,95.577,92.929,500.0,454.4,50,100,51,95.577,92.445,500.0,392.8,46,100,45,95.577,92.445,500.0,396.1,49,100,45,2026-09-11T18:08:54,15.12939453125,1038.67,1239.42,200.74,,1789121334.0917265
10.9,3.08,1.27,95.577,87.706,500.0,475.2,51,100,55,95.577,92.929,500.0,475.3,50,100,55,95.577,92.445,500.0,374.5,45,100,46,95.577,92.445,500.0,379.3,48,100,46,2026-09-11T18:09:04,14.7275390625,1038.66,1239.42,200.76,,1789121344.0917993
