USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     639207 40.2  2.1 1021221604 28001856 ? SNl  17:43  21:29 ray::WorkerDict
root     639208 40.6  2.1 1020700660 27955824 ? SNl  17:43  21:41 ray::WorkerDict
root     639206 40.6  2.1 1020700520 27922684 ? SNl  17:43  21:40 ray::WorkerDict
root     639205 40.1  2.1 1017430336 27708848 ? SNl  17:43  21:24 ray::WorkerDict
root     640917 59.2  0.2 493658868 2815184 ?   RNl  17:44  30:49 VLLM::Worker_TP1
root     640916  113  0.2 493794900 2807756 ?   RNl  17:44  58:53 VLLM::Worker_TP0
root     640911 61.6  0.2 493298440 2783192 ?   RNl  17:44  32:04 VLLM::Worker_TP1
root     640910  117  0.2 493436540 2777236 ?   RNl  17:44  61:19 VLLM::Worker_TP0
root     640590 11.0  0.1 230742512 2167192 ?   SNl  17:44   5:48 ray::vLLMHttpServer
root     640587 10.9  0.1 230582616 2015424 ?   SNl  17:44   5:41 ray::vLLMHttpServer
root     638003  1.3  0.1 202000460 1407520 ?   SNl  17:43   0:42 ray::TaskRunnerV1.run
root     641855  1.3  0.1 218325880 1307012 ?   SNl  17:45   0:42 ray::AgentLoopWorkerTQ
root     640869 58.2  0.1 23468232 1305440 ?    SNl  17:44  30:21 VLLM::EngineCore
root     641856  1.3  0.1 217996088 1304284 ?   SNl  17:45   0:42 ray::AgentLoopWorkerTQ
root     641853  1.3  0.1 218493860 1303456 ?   SNl  17:45   0:42 ray::AgentLoopWorkerTQ
root     641850  1.3  0.1 218493932 1303196 ?   SNl  17:45   0:41 ray::AgentLoopWorkerTQ
root     641842  1.3  0.1 218502080 1302236 ?   SNl  17:45   0:40 ray::AgentLoopWorkerTQ
root     641831  1.3  0.1 218495848 1302120 ?   SNl  17:45   0:41 ray::AgentLoopWorkerTQ
root     640876 55.8  0.1 23468648 1300928 ?    RNl  17:44  29:05 VLLM::EngineCore
root     641854  1.3  0.0 218322692 1297888 ?   SNl  17:45   0:40 ray::AgentLoopWorkerTQ
root     641822  1.2  0.0 218346256 1297212 ?   SNl  17:45   0:40 ray::AgentLoopWorkerTQ
root     641671  0.9  0.0 197946696 1049964 ?   SNl  17:45   0:29 ray::GlobalRequestLoadBalancer
root     717973  0.0  0.0 201948156 998376 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     717989  0.0  0.0 201948164 983224 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     717997  0.0  0.0 201948176 983224 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     718005  0.0  0.0 201948188 983224 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     718013  0.0  0.0 201948200 983224 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     718021  0.0  0.0 201948212 983224 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     718029  0.0  0.0 201948224 983220 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     717981  0.0  0.0 201948152 983116 ?    SNl  18:28   0:00 ray::TaskRunnerV1.run
root     633412  1.5  0.0 3134664 934088 ?      Sl   17:42   0:50 /root/autodl-tmp/rl_lab/repos/verl/.venv/lib/python3.12/site-packages/ray/core/src/ray/gcs/gcs_server --log_dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_17-42-55_721280_633336/logs --config_list=eyJhdXRvbWF0aWNfb2JqZWN0X3NwaWxsaW5nX2VuYWJsZWQiOiB0cnVlLCAib2JqZWN0X3NwaWxsaW5nX2NvbmZpZyI6ICJ7XCJ0eXBlXCI6IFwiZmlsZXN5c3RlbVwiLCBcInBhcmFtc1wiOiB7XCJkaXJlY3RvcnlfcGF0aFwiOiBcIi9yb290L2F1dG9kbC10bXAvcmxfbGFiL3RtcC9yYXkvcmF5L3Nlc3Npb25fMjAyNi0wOS0xMV8xNy00Mi01NV83MjEyODBfNjMzMzM2XCJ9fSIsICJpc19leHRlcm5hbF9zdG9yYWdlX3R5cGVfZnMiOiB0cnVlfQ== --gcs_server_port=0 --metrics-agent-port=0 --node-ip-address=172.17.0.3 --session-name=session_2026-09-11_17-42-55_721280_633336 --ray-commit=237c2455ebb1ea15a32dd9e1fdeb2d617badc37f --session-dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_17-42-55_721280_633336 --node-id=c57941ebdba31d13494d29584d5b27f5c0258bee599825053fb9e307 --stdout_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_17-42-55_721280_633336/logs/gcs_server.out --stderr_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_17-42-55_721280_633336/logs/gcs_server.err
root     640069  0.7  0.0 197439844 929744 ?    SNl  17:44   0:22 ray::RewardLoopWorker
root     640066  0.6  0.0 197366212 929092 ?    SNl  17:44   0:21 ray::RewardLoopWorker
root     640067  0.6  0.0 197292416 928720 ?    SNl  17:44   0:20 ray::RewardLoopWorker
root     640068  0.6  0.0 197292320 928504 ?    SNl  17:44   0:20 ray::RewardLoopWorker
root     640063  0.6  0.0 197439908 928428 ?    SNl  17:44   0:21 ray::RewardLoopWorker
root     640065  0.6  0.0 197292452 925744 ?    SNl  17:44   0:21 ray::RewardLoopWorker
root     640247  0.6  0.0 197366072 925724 ?    SNl  17:44   0:21 ray::RewardLoopWorker
root     640187  0.6  0.0 197366068 923936 ?    SNl  17:44   0:21 ray::RewardLoopWorker
