cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
9.5,3.09,1.27,95.577,86.894,500.0,441.7,48,100,53,95.577,92.116,500.0,441.4,47,100,53,95.577,91.931,500.0,440.7,46,100,53,95.577,91.931,500.0,446.5,49,100,54,2026-09-11T18:26:54,10.34130859375,1039.7,1239.42,199.71,,1789122414.099648
10.0,3.09,1.27,95.577,86.894,500.0,432.6,47,100,55,95.577,92.116,500.0,436.7,47,100,55,95.577,91.931,500.0,387.5,45,100,45,95.577,91.931,500.0,393.1,48,100,45,2026-09-11T18:27:04,10.5234375,1039.71,1239.42,199.71,,1789122424.099721
9.8,3.09,1.27,95.577,86.894,500.0,381.8,46,100,53,95.577,92.116,500.0,381.8,45,100,53,95.577,91.931,500.0,382.0,45,100,46,95.577,91.931,500.0,387.4,48,100,46,2026-09-11T18:27:14,11.14501953125,1039.7,1239.42,199.71,,1789122434.099794
9.4,3.09,1.27,95.577,86.896,500.0,395.0,46,100,59,95.577,92.118,500.0,396.9,45,100,59,95.577,91.931,500.0,417.8,46,100,59,95.577,91.931,500.0,424.3,48,100,59,2026-09-11T18:27:24,11.35693359375,1039.71,1239.42,199.7,,1789122444.099867
8.7,3.09,1.27,95.577,86.896,500.0,120.0,39,0,0,95.577,92.118,500.0,119.6,39,0,0,95.577,91.933,500.0,406.9,45,100,59,95.577,91.933,500.0,411.9,48,100,59,2026-09-11T18:27:34,11.46240234375,1039.71,1239.42,199.71,,1789122454.0999365
6.4,3.09,1.27,95.577,43.136,500.0,327.8,45,99,13,95.577,48.71,500.0,319.7,44,99,12,95.577,48.378,500.0,322.2,44,99,12,95.577,48.359,500.0,327.8,47,99,13,2026-09-11T18:27:44,10.85595703125,1039.63,1239.42,199.79,,1789122464.1000626
6.5,3.09,1.27,95.577,45.948,500.0,319.2,45,99,12,95.577,51.191,500.0,312.0,44,99,12,95.577,51.152,500.0,313.2,45,99,12,95.577,51.171,500.0,319.9,47,99,13,2026-09-11T18:27:54,10.3427734375,1039.58,1239.42,199.83,,1789122474.1001375
6.8,3.09,1.27,95.577,49.152,500.0,329.3,46,99,11,95.577,51.191,500.0,334.1,45,99,13,95.577,51.152,500.0,333.1,45,99,13,95.577,51.171,500.0,333.2,47,98,14,2026-09-11T18:28:04,10.0556640625,1039.53,1239.42,199.88,,1789122484.1002107
7.7,3.09,1.27,95.577,65.245,500.0,327.4,45,99,13,95.577,66.132,500.0,324.7,44,99,12,95.577,66.093,500.0,323.4,44,99,11,95.577,66.113,500.0,320.4,47,98,14,2026-09-11T18:28:14,9.8125,1039.47,1239.42,199.95,,1789122494.100287
7.6,3.09,1.27,95.577,66.261,500.0,326.8,46,100,12,95.577,66.132,500.0,326.2,44,100,11,95.577,66.093,500.0,316.9,44,100,11,95.577,66.113,500.0,322.4,46,89,28,2026-09-11T18:28:24,9.68701171875,1039.48,1239.42,199.93,,1789122504.1003597
