global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T18:37:39,0,,0.0,0.0078125,,,6.2230974435806274e-06,1e-06,0.19859213382005692,0.35495129227638245,-7.263070187946141e-06,0.0001273668460726185,,,-0.25,0.9682458365518543,1.0,-1.0,-0.01951490342617035,,-1.6201833486557007,2.474870204925537,16,8.0,16,2,6,8,8,0.125,0.375,0.5,0.5,8,0.5,0.4349881677025122,,,,,,1659.1796875,,,4381.0,,,233431.0,524.8873725457142,32.35254621878266,9.229911506175995,25.62315386161208,0.11593220010399818,,30.985315073281527,3.9425130747258663,,111.18147064000368,29.1,,31.35,27.87,3.55,8.14,1.0,1,0.0,0.0,1.0,0.9994544982910156,0.0027778504882007837,0.1943621039390564,0.000343511434039101,48.992594718933105,61.326171875,0.6478943599720115,0.00014753645518794656,,,,-0.01951490342617035,2.474870204925537,-1.6201833486557007,,,,,87.706,92.929,92.788,92.788
2,2026-09-11T18:37:39,0,,2.622634383442346e-06,0.0078125,,,5.5106356739997864e-05,1e-06,0.23800406605005264,0.3258579969406128,2.4170230858544528e-05,0.0001080612191799446,,,-0.328125,0.94463431251199,1.0,-1.0,-0.016482288017868996,,-1.6201833486557007,2.474870204925537,16,8.0,16,1,5,10,6,0.0625,0.3125,0.625,0.375,10,0.625,0.5668118161519118,,,,,,2032.9140625,,,6259.0,,,279741.0,688.1809443401535,40.35456304624677,10.086619477719069,9.949670772999525,0.12013842537999153,,36.93947887793183,4.147171165794134,,101.62334568426013,39.71,,19.72,36.35,4.08,0.14,2.0,2,0.0,0.0,1.0,0.9996249079704285,0.0026204136665910482,0.2862095236778259,0.0002851194003596902,51.169116497039795,65.0,0.6641437014410039,0.0003017511708094389,,,,-0.016482288017868996,2.474870204925537,-1.6201833486557007,,,,,87.706,92.929,92.788,92.788
3,2026-09-11T18:37:39,0,,0.0,0.0078125,,,-2.578040584921837e-05,1e-06,0.24587459117174149,0.31590571999549866,2.6088299136972637e-05,5.733492412218766e-05,,,-0.375,0.9270248108869579,1.0,-1.0,-0.009214810095727444,,-2.474870204925537,2.474870204925537,16,8.0,16,0,5,11,5,0.0,0.3125,0.6875,0.3125,11,0.6875,0.5929454502692076,,,,,,1941.46875,,,8192.0,,,276516.0,632.1448516854624,48.38643581792712,10.064146541059017,9.925258293747902,0.13341830298304558,,36.677557833492756,4.1437232084572315,,109.35626512765884,44.25,,18.28,33.54,3.79,0.15,3.0,3,0.0,0.0,1.0,0.9996004104614258,0.0029138203244656324,0.15478739142417908,0.00036280316999182105,51.169116497039795,65.0,0.6625259636614111,0.00031871191276877653,,,,-0.009214810095727444,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
4,2026-09-11T18:37:39,0,,0.0,0.0078125,,,1.2890435755252838e-05,1e-06,0.3226839229464531,0.29950806498527527,-2.8438882907266816e-05,0.00013639543135468557,,,-0.109375,0.9940005580355576,1.0,-1.0,-0.035986416041851044,,-2.474870204925537,2.474870204925537,16,8.0,16,1,3,12,4,0.0625,0.1875,0.75,0.25,12,0.75,0.6367139905267534,,,,,,1665.84375,,,7183.0,,,231956.0,604.5546304337893,44.36214827001095,8.429393868893385,8.24072102457285,0.121101513504982,,30.799603655934334,3.9416894130408764,,95.92019824311137,46.25,,17.38,32.11,4.11,0.15,4.0,4,0.0,0.0,1.0,0.9995932579040527,0.002685181563720107,0.17227020859718323,0.0002622300817165524,51.169116497039795,65.0,0.6561307674438817,0.0003415014343772782,,,,-0.035986416041851044,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
5,2026-09-11T18:37:39,0,,0.0,0.0078125,,,2.780277281999588e-05,1e-06,0.2848356291651726,0.30254772305488586,-3.0849455470161047e-06,0.0002769366546999663,,,0.203125,0.9791528146183311,1.0,-1.0,0.041756320744752884,,-2.474870204925537,2.474870204925537,16,8.0,16,2,0,14,2,0.125,0.0,0.875,0.125,14,0.875,0.7129957725443421,,,,,,1683.625,,,6441.0,,,234616.0,651.4406470870722,38.35356767103076,8.445709329098463,8.283651586622,0.123355932533741,,30.758859734982252,4.049497824162245,,90.03736604750156,42.6,,18.58,34.16,4.5,0.16,5.0,5,0.0,0.0,1.0,0.9995800256729126,0.0026977078523486853,0.1951160430908203,0.0002923322608694434,51.169116497039795,65.0,0.6633314543150803,0.00038906134068383835,,,,0.041756320744752884,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
6,2026-09-11T18:37:39,0,,0.0,0.0078125,,,5.552731454372406e-05,1e-06,0.354562371969223,0.2984916567802429,-2.1439138734535845e-05,0.00017142285651061684,,,-0.25,0.9682458365518543,1.0,-1.0,-0.009404584765434265,,-2.474870204925537,2.474870204925537,16,8.0,16,1,4,11,5,0.0625,0.25,0.6875,0.3125,11,0.6875,0.5653965374566283,,,,,,1497.6640625,,,5145.0,,,212949.0,669.9234802688785,32.34382867068052,7.67757198959589,7.5019469521939754,0.10122786834836006,,27.962897464632988,3.857758328318596,,79.46765797585249,40.7,,19.1,35.19,4.85,0.16,6.0,6,0.0,0.0,1.0,0.999583899974823,0.002854742109775543,0.5576768517494202,0.0004480414791032672,51.169116497039795,65.0,0.657843505378214,0.0005074189957667841,,,,-0.009404584765434265,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
7,2026-09-11T18:37:39,0,,0.0,0.0078125,,,-7.748603820800781e-06,1e-06,0.25347261875867844,0.2765886187553406,4.6697907919224235e-05,0.00015572363099636277,,,0.03125,0.9995115994824673,1.0,-1.0,0.012853491120040417,,-2.474870204925537,2.474870204925537,16,8.0,16,1,3,12,4,0.0625,0.1875,0.75,0.25,12,0.75,0.6214985910034486,,,,,,1796.7578125,,,7510.0,,,248497.0,624.1467744840155,44.372485876083374,9.018413197249174,8.837655521929264,0.13139864057302475,,33.12000535055995,4.026724826544523,,99.53468084707856,44.58,,17.94,33.27,4.05,0.16,7.0,7,0.0,0.0,1.0,0.9995874762535095,0.002488908590748906,0.16072328388690948,0.00028249205206520855,51.169116497039795,65.0,0.6571578300718963,0.0005022637415095232,,,,0.012853491120040417,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
8,2026-09-11T18:37:39,0,,0.0,0.0078125,,,3.27439047396183e-05,1e-06,0.27375972270965576,0.3171270787715912,1.1434735029069998e-05,0.00011868234651046805,,,-0.09375,0.9955957701296244,1.0,-1.0,-0.012484909035265446,,-2.474870204925537,2.474870204925537,16,8.0,16,3,4,9,7,0.1875,0.25,0.5625,0.4375,9,0.5625,0.4763188625326802,,,,,,1854.3515625,,,7247.0,,,255589.0,633.3243379656475,44.36253009736538,9.33069409802556,9.075987175107002,0.1193704828619957,,33.93233436346054,4.047442499548197,,100.89182772487402,43.97,,18.24,33.63,4.01,0.14,8.0,8,0.0,0.0,1.0,0.9996161460876465,0.002548584248870611,0.2803797721862793,0.0003113248385488987,51.169116497039795,65.0,0.6621202785431772,0.00061454763635993,,,,-0.012484909035265446,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
9,2026-09-11T18:37:39,0,,0.0,0.0078125,,,1.8884195014834404e-05,1e-06,0.25336113572120667,0.2941012978553772,-2.857679135104263e-06,0.00019352874096512096,,,-0.046875,0.9989007630265381,1.0,-1.0,-0.029012862592935562,,-2.474870204925537,2.474870204925537,16,8.0,16,2,2,12,4,0.125,0.125,0.75,0.25,12,0.75,0.5855670965221806,,,,,,2119.6328125,,,7033.0,,,289681.0,649.5847513295985,48.36923759430647,10.470661997795105,10.305717505514622,0.12105268612504005,,38.08037879317999,4.117446679621935,,111.48699203878641,43.39,,18.64,34.16,3.69,0.13,9.0,9,0.0,0.0,1.0,0.9995999336242676,0.0027602610643953085,0.18255934119224548,0.0002721907221712172,51.9341778755188,65.0,0.6684903356348793,0.0008085573354037479,,,,-0.029012862592935562,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
10,2026-09-11T18:37:39,0,0.44533333333333336,0.0,0.0078125,,501.6941768862307,2.1613668650388718e-06,1e-06,0.22777851670980453,0.2715272009372711,-1.7849693335847405e-05,0.00013816330465488136,,,0.0625,0.998044963916957,1.0,-1.0,-0.02698695845901966,,-2.474870204925537,2.474870204925537,16,8.0,16,4,3,9,7,0.25,0.1875,0.5625,0.4375,9,0.5625,0.4846922747961528,,,,,,1709.0859375,,,4773.0,,,240131.0,706.1785626419924,32.34203789010644,8.650485888123512,8.422463297843933,0.10470780730247498,,31.47299624606967,3.995200850069523,,85.01072274893522,38.04,,20.08,37.02,4.7,0.15,10.0,10,0.0,0.0,1.0,0.999557614326477,0.002703239908441901,0.13934972882270813,0.00035475785261951387,51.9341778755188,65.0,0.6607876546386782,0.0007848852656024974,,,,-0.02698695845901966,2.474870204925537,-2.474870204925537,,,,,87.706,92.929,92.788,92.788
