cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
11.4,3.09,1.27,95.577,87.407,500.0,440.2,50,100,41,95.577,92.63,500.0,443.4,49,100,41,95.577,92.4,500.0,430.8,48,100,42,95.577,92.4,500.0,434.7,50,100,33,2026-09-11T18:59:17,12.9638671875,1039.38,1239.42,200.03,,1789124357.7095501
11.4,3.09,1.27,95.577,87.407,500.0,441.7,50,100,42,95.577,92.63,500.0,443.3,49,100,42,95.577,92.4,500.0,437.6,48,100,34,95.577,92.4,500.0,441.0,50,100,39,2026-09-11T18:59:27,13.1357421875,1039.36,1239.42,200.06,,1789124367.7096264
11.2,3.09,1.27,95.577,87.407,500.0,447.2,50,100,44,95.577,92.63,500.0,446.9,50,100,44,95.577,92.4,500.0,445.9,48,100,44,95.577,92.4,500.0,450.6,50,100,44,2026-09-11T18:59:37,13.86474609375,1039.32,1239.42,200.1,,1789124377.7097015
11.1,3.09,1.27,95.577,87.407,500.0,440.0,50,100,44,95.577,92.63,500.0,440.8,49,100,44,95.577,92.4,500.0,445.4,48,100,44,95.577,92.4,500.0,449.7,50,100,44,2026-09-11T18:59:47,13.81201171875,1039.3,1239.42,200.12,,1789124387.7097762
11.2,3.09,1.27,95.577,87.407,500.0,453.7,50,100,46,95.577,92.63,500.0,453.7,50,100,45,95.577,92.4,500.0,433.0,48,100,45,95.577,92.4,500.0,440.7,50,100,45,2026-09-11T18:59:57,18.85009765625,1039.28,1239.42,200.13,,1789124397.7098482
11.1,3.09,1.27,95.577,87.407,500.0,459.0,50,100,47,95.577,92.63,500.0,459.3,50,100,47,95.577,92.4,500.0,458.3,48,100,47,95.577,92.4,500.0,466.4,51,100,47,2026-09-11T19:00:07,17.9501953125,1039.26,1239.42,200.15,,1789124407.522442
10.0,3.09,1.27,95.577,87.407,500.0,454.4,50,100,48,95.577,92.63,500.0,453.4,50,100,48,95.577,92.4,500.0,447.1,48,100,47,95.577,92.4,500.0,453.2,50,100,47,2026-09-11T19:00:17,17.1953125,1039.29,1239.42,200.13,,1789124417.522514
10.1,3.09,1.27,95.577,87.407,500.0,454.3,50,100,48,95.577,92.63,500.0,455.1,50,100,48,95.577,92.4,500.0,447.9,48,100,48,95.577,92.4,500.0,455.3,50,100,48,2026-09-11T19:00:27,16.5498046875,1039.28,1239.42,200.13,,1789124427.522588
9.3,3.09,1.27,95.577,87.407,500.0,450.0,50,100,49,95.577,92.63,500.0,450.1,50,100,48,95.577,92.4,500.0,462.8,49,100,50,95.577,92.4,500.0,470.2,51,100,50,2026-09-11T19:00:37,15.9296875,1039.28,1239.42,200.14,,1789124437.5226624
10.0,3.09,1.27,95.577,87.407,500.0,462.2,50,100,51,95.577,92.63,500.0,463.1,50,100,50,95.577,92.4,500.0,462.2,48,100,50,95.577,92.4,500.0,467.0,51,100,50,2026-09-11T19:00:47,15.55908203125,1039.26,1239.42,200.16,,1789124447.5227413
9.7,3.09,1.27,95.577,87.407,500.0,462.3,50,100,50,95.577,92.63,500.0,464.1,50,100,50,95.577,92.4,500.0,471.8,49,100,52,95.577,92.4,500.0,480.1,51,100,52,2026-09-11T19:00:57,14.79052734375,1039.97,1239.42,199.44,,1789124457.5228136
9.5,3.09,1.27,95.577,87.407,500.0,470.6,51,100,52,95.577,92.63,500.0,473.9,50,100,52,95.577,92.4,500.0,461.7,49,100,51,95.577,92.4,500.0,468.6,51,100,50,2026-09-11T19:01:07,14.3544921875,1039.96,1239.42,199.45,,1789124467.5228887
9.9,3.09,1.27,95.577,87.407,500.0,461.2,50,100,50,95.577,92.63,500.0,463.0,50,100,50,95.577,92.4,500.0,453.6,48,100,50,95.577,92.4,500.0,461.0,51,100,50,2026-09-11T19:01:17,13.91162109375,1039.96,1239.42,199.46,,1789124477.5229611
9.6,3.09,1.27,95.577,87.407,500.0,459.1,50,100,49,95.577,92.63,500.0,454.9,50,100,49,95.577,92.4,500.0,446.2,48,100,49,95.577,92.4,500.0,452.9,50,100,50,2026-09-11T19:01:27,13.61083984375,1039.94,1239.42,199.47,,1789124487.5230381
10.8,3.09,1.27,95.577,87.407,500.0,478.3,50,100,54,95.577,92.63,500.0,477.9,50,100,54,95.577,92.4,500.0,468.6,49,100,53,95.577,92.4,500.0,476.9,51,100,53,2026-09-11T19:01:37,13.68359375,1039.92,1239.42,199.5,,1789124497.5231137
11.1,3.09,1.27,95.577,87.407,500.0,343.3,48,100,12,95.577,92.63,500.0,344.3,47,100,12,95.577,92.4,500.0,461.2,49,100,51,95.577,92.4,500.0,471.2,51,100,51,2026-09-11T19:01:47,13.67138671875,1039.12,1239.42,200.3,,1789124507.52319
11.1,3.09,1.27,95.577,87.407,500.0,456.5,49,100,50,95.577,92.63,500.0,460.3,49,100,50,95.577,92.4,500.0,341.3,46,100,12,95.577,92.4,500.0,345.7,49,100,12,2026-09-11T19:01:57,13.654296875,1039.07,1239.42,200.34,,1789124517.5232673
10.7,3.09,1.27,95.577,87.407,500.0,454.3,50,100,50,95.577,92.63,500.0,456.3,49,100,50,95.577,92.402,500.0,451.5,47,100,48,95.577,92.4,500.0,459.9,49,100,48,2026-09-11T19:02:07,13.4794921875,1039.07,1239.42,200.35,,1789124527.5233438
10.9,3.09,1.27,95.577,87.407,500.0,464.6,50,100,52,95.577,92.63,500.0,467.8,50,100,52,95.577,92.402,500.0,464.4,48,100,50,95.577,92.4,500.0,471.8,50,100,50,2026-09-11T19:02:17,13.48583984375,1039.08,1239.42,200.34,,1789124537.523424
11.2,3.09,1.27,95.577,87.407,500.0,464.8,50,100,50,95.577,92.63,500.0,444.4,49,100,50,95.577,92.402,500.0,467.6,48,100,51,95.577,92.4,500.0,475.7,51,100,51,2026-09-11T19:02:27,13.3369140625,1039.05,1239.42,200.36,,1789124547.5234995
