USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     750395 44.8  2.1 908566772 27986984 ?  SNl  18:38  14:48 ray::WorkerDict
root     750394 44.2  2.1 1017690000 27918356 ? SNl  18:38  14:36 ray::WorkerDict
root     750396 44.8  2.1 908501364 27904460 ?  SNl  18:38  14:48 ray::WorkerDict
root     750397 44.4  2.1 1020830868 27752096 ? SNl  18:38  14:41 ray::WorkerDict
root     752086 55.8  0.2 492817616 2793952 ?   RNl  18:39  17:44 VLLM::Worker_TP1
root     752092 58.0  0.2 492906252 2782288 ?   RNl  18:39  18:26 VLLM::Worker_TP1
root     752085  105  0.2 492925188 2756176 ?   RNl  18:39  33:28 VLLM::Worker_TP0
root     752091  109  0.2 493023968 2755200 ?   RNl  18:39  34:52 VLLM::Worker_TP0
root     751714  9.5  0.1 230397688 1866540 ?   SNl  18:39   3:03 ray::vLLMHttpServer
root     751711  9.4  0.1 230377184 1852296 ?   SNl  18:39   3:01 ray::vLLMHttpServer
root     749192  1.6  0.1 201947340 1402476 ?   SNl  18:38   0:33 ray::TaskRunnerV1.run
root     752949  1.4  0.0 217230216 1292100 ?   SNl  18:40   0:28 ray::AgentLoopWorkerTQ
root     752985  1.5  0.0 217181100 1292096 ?   SNl  18:40   0:28 ray::AgentLoopWorkerTQ
root     752983  1.5  0.0 217401336 1292016 ?   SNl  18:40   0:28 ray::AgentLoopWorkerTQ
root     752976  1.4  0.0 217368584 1291980 ?   SNl  18:40   0:27 ray::AgentLoopWorkerTQ
root     752984  1.5  0.0 217211828 1291208 ?   SNl  18:40   0:28 ray::AgentLoopWorkerTQ
root     752981  1.4  0.0 217475188 1291040 ?   SNl  18:40   0:27 ray::AgentLoopWorkerTQ
root     752986  1.4  0.0 217081840 1290116 ?   SNl  18:40   0:26 ray::AgentLoopWorkerTQ
root     752967  1.5  0.0 217441252 1289280 ?   SNl  18:40   0:29 ray::AgentLoopWorkerTQ
root     751996 53.9  0.0 23448048 1285352 ?    RNl  18:39  17:11 VLLM::EngineCore
root     752003 51.6  0.0 23448232 1283336 ?    RNl  18:39  16:28 VLLM::EngineCore
root     752797  1.0  0.0 197944448 1050040 ?   SNl  18:40   0:20 ray::GlobalRequestLoadBalancer
root     751244  0.7  0.0 197364460 924868 ?    SNl  18:39   0:14 ray::RewardLoopWorker
root     751241  0.8  0.0 197364380 924552 ?    SNl  18:39   0:16 ray::RewardLoopWorker
root     751310  0.8  0.0 197364196 924308 ?    SNl  18:39   0:15 ray::RewardLoopWorker
root     751369  0.8  0.0 197364268 924076 ?    SNl  18:39   0:15 ray::RewardLoopWorker
root     751243  0.7  0.0 197363376 923292 ?    SNl  18:39   0:15 ray::RewardLoopWorker
root     751242  0.8  0.0 197290708 923148 ?    SNl  18:39   0:15 ray::RewardLoopWorker
root     751240  0.8  0.0 197215904 920184 ?    SNl  18:39   0:15 ray::RewardLoopWorker
root     751235  0.8  0.0 197290488 920108 ?    SNl  18:39   0:15 ray::RewardLoopWorker
root     744603  1.5  0.0 3114696 907160 ?      Sl   18:37   0:30 /root/autodl-tmp/rl_lab/repos/verl/.venv/lib/python3.12/site-packages/ray/core/src/ray/gcs/gcs_server --log_dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_18-37-59_643598_744529/logs --config_list=eyJhdXRvbWF0aWNfb2JqZWN0X3NwaWxsaW5nX2VuYWJsZWQiOiB0cnVlLCAib2JqZWN0X3NwaWxsaW5nX2NvbmZpZyI6ICJ7XCJ0eXBlXCI6IFwiZmlsZXN5c3RlbVwiLCBcInBhcmFtc1wiOiB7XCJkaXJlY3RvcnlfcGF0aFwiOiBcIi9yb290L2F1dG9kbC10bXAvcmxfbGFiL3RtcC9yYXkvcmF5L3Nlc3Npb25fMjAyNi0wOS0xMV8xOC0zNy01OV82NDM1OThfNzQ0NTI5XCJ9fSIsICJpc19leHRlcm5hbF9zdG9yYWdlX3R5cGVfZnMiOiB0cnVlfQ== --gcs_server_port=0 --metrics-agent-port=0 --node-ip-address=172.17.0.3 --session-name=session_2026-09-11_18-37-59_643598_744529 --ray-commit=237c2455ebb1ea15a32dd9e1fdeb2d617badc37f --session-dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_18-37-59_643598_744529 --node-id=3a8f3eab5f1114e8062a300910445b92cf679f615d8d99b6f27781aa --stdout_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_18-37-59_643598_744529/logs/gcs_server.out --stderr_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_18-37-59_643598_744529/logs/gcs_server.err
