cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
7.5,3.09,1.27,95.577,65.421,500.0,328.6,46,99,12,95.577,66.445,500.0,328.9,45,99,11,95.577,66.386,500.0,330.9,44,98,13,95.577,66.386,500.0,339.3,46,99,13,2026-09-11T19:06:57,9.60595703125,1040.19,1239.42,199.22,,1789124817.5255015
7.6,3.09,1.27,95.577,31.003,500.0,123.8,39,0,0,95.577,40.864,500.0,122.4,39,0,0,95.577,38.038,500.0,124.2,38,0,0,95.577,42.724,500.0,125.2,40,0,0,2026-09-11T19:07:07,9.3583984375,1039.56,1239.42,199.85,,1789124827.5255737
10.8,3.09,1.27,95.577,86.827,500.0,422.0,46,100,45,95.577,92.05,500.0,421.2,45,100,45,95.577,92.152,500.0,416.6,45,100,46,95.577,92.152,500.0,420.2,47,100,46,2026-09-11T19:07:17,10.29345703125,1039.54,1239.42,199.88,,1789124837.5256472
10.1,3.09,1.27,95.577,86.827,500.0,408.3,46,100,53,95.577,92.05,500.0,409.8,45,100,53,95.577,92.152,500.0,409.5,45,100,50,95.577,92.152,500.0,413.4,47,100,50,2026-09-11T19:07:27,10.6298828125,1039.54,1239.42,199.88,,1789124847.5257218
9.8,3.09,1.27,95.577,86.827,500.0,379.0,46,100,52,95.577,92.05,500.0,377.5,45,100,52,95.577,92.152,500.0,387.2,44,100,52,95.577,92.152,500.0,389.8,47,100,52,2026-09-11T19:07:37,11.14208984375,1039.55,1239.42,199.86,,1789124857.525793
9.2,3.09,1.27,95.577,86.829,500.0,396.2,45,100,60,95.577,92.052,500.0,397.5,45,100,60,95.577,92.152,500.0,374.5,44,100,50,95.577,92.152,500.0,381.0,46,100,50,2026-09-11T19:07:47,11.34130859375,1039.58,1239.42,199.83,,1789124867.525869
7.7,3.09,1.27,95.577,86.829,500.0,119.3,38,0,0,95.577,92.052,500.0,119.1,38,0,0,95.577,92.154,500.0,401.8,44,100,59,95.577,92.154,500.0,405.9,47,100,59,2026-09-11T19:07:57,11.12255859375,1040.32,1239.42,199.1,,1789124877.5259404
6.7,3.09,1.27,95.577,41.554,500.0,329.7,44,99,14,95.577,46.972,500.0,331.5,43,99,13,95.577,46.952,500.0,330.9,45,99,12,95.577,46.757,500.0,333.5,47,99,14,2026-09-11T19:08:07,10.79541015625,1040.26,1239.42,199.15,,1789124887.5260205
6.7,3.09,1.27,95.577,44.23,500.0,332.1,45,99,13,95.577,49.452,500.0,331.1,44,99,13,95.577,49.472,500.0,330.0,44,98,13,95.577,49.452,500.0,333.6,46,99,13,2026-09-11T19:08:17,10.2177734375,1040.24,1239.42,199.17,,1789124897.5260947
6.7,3.09,1.27,95.577,52.55,500.0,335.2,45,100,12,95.577,52.929,500.0,330.6,44,100,12,95.577,53.066,500.0,330.3,44,100,20,95.577,53.124,500.0,334.6,46,99,22,2026-09-11T19:08:27,9.95654296875,1040.27,1239.42,199.14,,1789124907.5261743
6.2,3.09,1.27,95.577,68.06,500.0,326.2,45,100,9,95.577,73.634,500.0,325.8,44,100,9,95.577,72.833,500.0,322.9,44,100,12,95.577,73.341,500.0,331.2,47,100,12,2026-09-11T19:08:37,9.81591796875,1040.22,1239.42,199.2,,1789124917.526248
7.7,3.09,1.27,95.577,68.06,500.0,324.1,45,99,13,95.577,73.634,500.0,325.2,45,99,11,95.577,72.833,500.0,322.7,43,99,12,95.577,73.341,500.0,329.5,46,99,12,2026-09-11T19:08:47,9.9248046875,1040.23,1239.42,199.19,,1789124927.526319
7.7,3.09,1.27,95.577,68.06,500.0,322.9,45,100,9,95.577,73.634,500.0,324.9,44,98,20,95.577,73.634,500.0,322.2,43,99,21,95.577,73.341,500.0,323.5,46,99,19,2026-09-11T19:08:57,9.62841796875,1040.22,1239.42,199.19,,1789124937.5263965
9.7,3.09,1.27,95.577,86.751,500.0,414.0,46,100,42,95.577,91.974,500.0,416.8,45,100,42,95.577,91.976,500.0,415.3,44,100,43,95.577,91.976,500.0,417.3,47,100,43,2026-09-11T19:09:07,10.00634765625,1040.28,1239.42,199.13,,1789124947.5264683
11.5,3.09,1.27,95.577,86.751,500.0,408.7,47,100,46,95.577,91.974,500.0,409.9,46,100,46,95.577,91.976,500.0,435.3,45,100,53,95.577,91.976,500.0,440.7,48,100,53,2026-09-11T19:09:17,10.6943359375,1040.27,1239.42,199.15,,1789124957.5265393
10.9,3.09,1.27,95.577,86.751,500.0,383.2,46,100,44,95.577,91.974,500.0,383.3,46,100,44,95.577,91.976,500.0,378.1,44,100,43,95.577,91.976,500.0,383.6,47,100,44,2026-09-11T19:09:27,11.19677734375,1040.28,1239.42,199.14,,1789124967.5266159
10.9,3.09,1.27,95.577,86.751,500.0,415.3,47,100,58,95.577,91.974,500.0,416.1,46,100,59,95.577,91.976,500.0,395.4,45,100,47,95.577,91.976,500.0,403.7,47,100,48,2026-09-11T19:09:37,13.95703125,1040.27,1239.42,199.14,,1789124977.526683
10.4,3.09,1.27,95.577,86.753,500.0,397.4,46,100,60,95.577,91.976,500.0,397.4,45,100,60,95.577,91.976,500.0,373.8,44,100,50,95.577,91.976,500.0,378.8,46,100,50,2026-09-11T19:09:47,13.7236328125,1039.55,1239.42,199.86,,1789124987.52676
7.0,3.09,1.27,95.577,86.753,500.0,119.4,38,0,0,95.577,91.976,500.0,119.0,38,0,0,95.577,91.978,500.0,403.0,44,100,59,95.577,91.978,500.0,407.8,47,100,59,2026-09-11T19:09:57,13.0576171875,1039.56,1239.42,199.86,,1789124997.5268333
6.3,3.09,1.27,95.577,43.292,500.0,323.9,44,99,13,95.577,48.163,500.0,321.0,43,99,12,95.577,48.593,500.0,324.4,44,99,12,95.577,48.339,500.0,330.7,47,99,13,2026-09-11T19:10:07,12.51318359375,1039.46,1239.42,199.95,,1789125007.5269074
6.5,3.09,1.27,95.577,45.773,500.0,328.1,45,99,13,95.577,51.034,500.0,322.4,44,99,12,95.577,51.073,500.0,322.4,43,99,12,95.577,50.976,500.0,328.9,46,99,13,2026-09-11T19:10:17,11.8125,1039.48,1239.42,199.93,,1789125017.526987
