global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.017501310678198934,1e-06,0.042049847543239594,0.07188757508993149,-5.585085133930079e-06,0.00014049302944840747,,,-0.328125,0.94463431251199,1.0,-1.0,-0.08239952474832535,,-1.5,1.75,16,8.0,16,1,5,10,6,0.0625,0.3125,0.625,0.375,10,0.625,0.5516055860338234,,,,,,1738.7890625,,,6164.0,,,243621.0,504.7457152405157,38.35227259248495,9.552068162709475,27.009884107857943,0.11238965764641762,,32.6428362056613,3.990385614335537,,120.6652145050466,31.78,,30.3,27.05,3.31,7.56,1.0,1,0.0,0.0,1.0,0.9997513294219971,0.002635336946696043,0.17532390356063843,0.0003070731763727963,49.64555072784424,62.263671875,0.6447353053712293,4.0884377995098475e-05,,,,-0.08239952474832535,1.75,-1.5,,,,,87.407,92.63,92.402,92.402
2,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.004402681952342391,1e-06,0.037483458407223225,0.07401392608880997,4.280746907170396e-05,0.00013780041535937926,,,-0.453125,0.8914469890997445,1.0,-1.0,-0.018726645037531853,,-1.75,1.75,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.5919650429753602,,,,,,1925.5234375,,,5661.0,,,265995.0,675.2646092411669,40.35926117002964,9.5957753919065,9.464318580925465,0.13962428644299507,,34.79508389905095,4.100020110607147,,98.47806191816926,40.98,,19.35,35.33,4.16,0.17,2.0,2,0.0,0.0,1.0,0.9996085166931152,0.0026893713511526585,0.17885613441467285,0.0002568278578110039,50.81669807434082,63.435546875,0.6675969467820293,6.659129985564505e-05,,,,-0.018726645037531853,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
3,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.005266216001473367,1e-06,0.034194749779999256,0.08328767865896225,2.638013393152505e-05,2.94300518817181e-05,,,-0.4375,0.899218410621135,1.0,-1.0,-0.02245154231786728,,-1.75,1.75,16,8.0,16,0,8,8,8,0.0,0.5,0.5,0.5,8,0.5,0.40941472070022583,,,,,,1918.9765625,,,5518.0,,,273637.0,711.6908440103675,36.35005231946707,9.814208954572678,9.713702861219645,0.10794375464320183,,35.89784176647663,4.21672735735774,,96.12214429304004,37.82,,20.32,37.35,4.39,0.13,3.0,3,0.0,0.0,1.0,0.9995492100715637,0.0030183044727891684,0.1845051348209381,0.0003330000035930425,50.81669807434082,63.435546875,0.6674587220503121,8.042480658332352e-05,,,,-0.02245154231786728,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
4,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.003992442041635513,1e-06,0.03840024396777153,0.0659973993897438,-5.9792645004108635e-06,0.00013680891515832627,,,-0.15625,0.9877175393299442,1.0,-1.0,-0.01827513799071312,,-1.75,1.75,16,8.0,16,1,4,11,5,0.0625,0.25,0.6875,0.3125,11,0.6875,0.5929454502692076,,,,,,1791.9453125,,,6565.0,,,248097.0,652.2954803723082,40.35901378840208,8.95517411455512,8.822086073458195,0.11949500814080238,,32.639105785638094,4.166837595403194,,95.08612563833594,42.44,,18.7,34.33,4.38,0.15,4.0,4,0.0,0.0,1.0,0.9995419979095459,0.0026847021654248238,0.2200535535812378,0.0003568271640688181,50.81669807434082,63.435546875,0.6651073745377498,7.396918408630881e-05,,,,-0.01827513799071312,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
5,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.0021629231050610542,1e-06,0.12318359315395355,0.05882679298520088,1.7331354683847167e-05,0.0002493328574928455,,,0.03125,0.9995115994824673,1.0,-1.0,-0.011159654706716537,,-1.75,1.75,16,8.0,16,1,0,15,1,0.0625,0.0,0.9375,0.0625,15,0.9375,0.8030538547621375,,,,,,1596.8515625,,,6201.0,,,223509.0,650.7575271987615,36.35508179664612,8.030086375772953,7.887456316500902,0.11194644123315811,,29.51222663745284,3.942081108689308,,85.86493073776364,42.34,,18.54,34.37,4.59,0.16,5.0,5,0.0,0.0,1.0,0.9995759725570679,0.0027144658379256725,0.18462452292442322,0.00022197757789399475,50.81669807434082,63.435546875,0.6565673156393377,7.36722031433601e-05,,,,-0.011159654706716537,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
6,2026-09-11T19:11:33,0,,0.0,0.0078125,,,-0.0005391399608924985,1e-06,0.0434649670496583,0.06717951595783234,1.8610617985359568e-05,0.00021253454360703472,,,-0.109375,0.9940005580355576,1.0,-1.0,0.0026645998004823923,,-1.75,1.75,16,8.0,16,2,3,11,5,0.125,0.1875,0.6875,0.3125,11,0.6875,0.5634119022411193,,,,,,1658.0234375,,,5352.0,,,233475.0,699.3523875980245,32.345912147313356,8.343891322612762,8.196643684059381,0.11281070113182068,,30.546605434268713,3.892310094088316,,83.46114353090525,38.76,,19.82,36.6,4.66,0.16,6.0,6,0.0,0.0,1.0,0.9995783567428589,0.002869602292776108,0.3015977144241333,0.0002254042192362249,50.81669807434082,63.435546875,0.6647326015862951,9.483419216849143e-05,,,,0.0026645998004823923,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
7,2026-09-11T19:11:33,0,,0.0,0.0078125,,,-0.002485888311639428,1e-06,0.040306976065039635,0.06709378957748413,-1.3090382708469406e-05,0.00020098041522942367,,,0.046875,0.9989007630265381,1.0,-1.0,0.011544669978320599,,-1.75,1.75,16,8.0,16,3,4,9,7,0.1875,0.25,0.5625,0.4375,9,0.5625,0.463532139031537,,,,,,1776.21875,,,7885.0,,,245868.0,597.0769104122469,48.42213685438037,8.899357866495848,8.75099727511406,0.14657222479581833,,32.83256747573614,3.87358869984746,,102.9465365819633,47.04,,17.15,31.89,3.76,0.16,7.0,7,0.0,0.0,1.0,0.9995254874229431,0.002676609205082059,0.18087783455848694,0.0003753946803044528,50.81669807434082,63.435546875,0.6558532245380407,0.00011436025306466036,,,,0.011544669978320599,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
8,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.0022751963697373867,1e-06,0.043423715978860855,0.06751804798841476,5.102229857811835e-05,0.00014698502923238266,,,-0.078125,0.9969435713093294,1.0,-1.0,-0.010988680645823479,,-1.75,1.75,16,8.0,16,3,3,10,6,0.1875,0.1875,0.625,0.375,10,0.625,0.5240566732212442,,,,,,1688.8828125,,,5948.0,,,234409.0,665.5526727032012,36.36025154963136,8.425157476216555,8.248166747391224,0.11737459525465965,,30.937378387898207,3.938715074211359,,88.05050659924746,41.29,,18.94,35.14,4.47,0.16,8.0,8,0.0,0.0,1.0,0.9995879530906677,0.0027550675440579653,0.23696830868721008,0.0002887265873141587,50.81669807434082,63.435546875,0.6561361092233162,0.00013391885613600607,,,,-0.010988680645823479,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
9,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.004528359742835164,1e-06,0.04645455442368984,0.07295192778110504,1.0214331226165996e-05,0.00016877730286068982,,,0.015625,0.9998779222360098,1.0,-1.0,-0.019248774275183678,,-1.75,1.75,16,8.0,16,1,1,14,2,0.0625,0.0625,0.875,0.125,14,0.875,0.7041874888794333,,,,,,1927.578125,,,6476.0,,,265098.0,674.2230143582194,40.35613425076008,9.563205398619175,9.435026206076145,0.13391206413507462,,34.753928162157536,4.033839777112007,,98.29759380593896,41.06,,19.33,35.36,4.1,0.16,9.0,9,0.0,0.0,1.0,0.9995881915092468,0.0027897830586880445,0.24019953608512878,0.00034687353763729334,50.81669807434082,63.435546875,0.6671501320577291,0.00020409257831488503,,,,-0.019248774275183678,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
10,2026-09-11T19:11:33,0,0.4646666666666667,0.0,0.0078125,,458.3679706454277,0.0023427148698829114,1e-06,0.03122872579842806,0.0626949742436409,-3.948678056531207e-06,0.00020394785860844422,,,0.046875,0.9989007630265381,1.0,-1.0,-0.011385653167963028,,-1.75,1.75,16,8.0,16,2,4,10,6,0.125,0.25,0.625,0.375,10,0.625,0.49010981395548514,,,,,,1681.4609375,,,8192.0,,,236595.0,595.3820630668426,46.41218003258109,8.638824220746756,8.455662097781897,0.13298093527555466,,31.71690656989813,3.9664561934769154,,99.34587161615491,46.72,,17.21,31.93,3.99,0.16,10.0,10,0.0,0.0,1.0,0.9995922446250916,0.00275994511321187,0.24135226011276245,0.00038211021455936134,50.81669807434082,63.435546875,0.6531502919417944,0.00020871134256594814,,,,-0.011385653167963028,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
11,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.002474814187735319,1e-06,0.027351864613592625,0.06314451992511749,4.693784397602485e-05,0.00012675092420977307,,,0.03125,0.9995115994824673,1.0,-1.0,-0.011693311855196953,,-1.75,1.0,16,8.0,16,4,6,6,10,0.25,0.375,0.375,0.625,6,0.375,0.32033704577627764,,,,,,1734.765625,,,5980.0,,,241242.0,655.6944528982509,38.41803064197302,8.739332810044289,8.576114926487207,0.11025676503777504,,32.09515957534313,4.016481760889292,,91.97957941144705,41.77,,18.83,34.89,4.37,0.15,11.0,11,0.0,0.0,1.0,0.9994115233421326,0.0026377164758741856,0.2974429726600647,0.00021935116092208773,50.81669807434082,63.435546875,0.6523212947562635,0.0002314071343789692,,,,-0.011693311855196953,1.0,-1.75,,,,,87.407,92.63,92.402,92.402
12,2026-09-11T19:11:33,0,,0.0,0.0078125,,,0.004722996964119375,1e-06,0.04481813125312328,0.08841685205698013,2.213015881125102e-05,0.00014408186211767315,,,-0.0625,0.998044963916957,1.0,-1.0,-0.02275780774652958,,-1.75,1.75,16,8.0,16,3,4,9,7,0.1875,0.25,0.5625,0.4375,9,0.5625,0.46354130843675323,,,,,,1692.15625,,,5149.0,,,237692.0,688.6646450121045,34.35443186759949,8.502719182521105,8.322713803499937,0.10925895348191261,,30.942734714597464,4.031111050397158,,86.28728137910366,39.81,,19.5,35.86,4.67,0.15,12.0,12,0.0,0.0,1.0,0.9995757341384888,0.003414670005440712,0.2995009422302246,0.0002811797021422535,50.81669807434082,63.435546875,0.668097200194383,0.0002757443580776453,,,,-0.02275780774652958,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
13,2026-09-11T19:11:33,0,,0.0,0.0078125,,,-0.0007062192307785153,1e-06,0.043869366869330406,0.0823981836438179,2.3617621877747297e-05,9.189916818286292e-05,,,-0.171875,0.9851187666342571,1.0,-1.0,0.002932730596512556,,-1.75,1.75,16,8.0,16,1,4,11,5,0.0625,0.25,0.6875,0.3125,11,0.6875,0.5801587267680645,,,,,,1980.609375,,,8192.0,,,274262.0,607.8823008972591,52.3699898570776,9.965788416564465,9.834430377930403,0.13111981749534607,,36.316316973418,4.152446035295725,,112.79403907433152,46.43,,17.55,32.2,3.68,0.14,13.0,13,0.0,0.0,1.0,0.9994809031486511,0.0027089614886790514,0.2525940537452698,0.0002787047124002129,51.511396408081055,64.19921875,0.6655115109404226,0.0003352174117026152,,,,0.002932730596512556,1.75,-1.75,,,,,87.407,92.63,92.402,92.402
