USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     860686 58.4  2.1 908822288 27924948 ?  SNl  19:33   8:12 ray::WorkerDict
root     860688 59.0  2.1 908365176 27846020 ?  SNl  19:33   8:17 ray::WorkerDict
root     860687 58.8  2.1 1020497272 27813112 ? SNl  19:33   8:15 ray::WorkerDict
root     860682 58.1  2.1 1015130932 27748008 ? SNl  19:33   8:09 ray::WorkerDict
root     862395 40.7  0.2 492937996 2779084 ?   RNl  19:35   5:12 VLLM::Worker_TP1
root     862389 44.3  0.2 492796844 2768976 ?   RNl  19:35   5:40 VLLM::Worker_TP1
root     862388 79.2  0.2 492914352 2741512 ?   SNl  19:35  10:07 VLLM::Worker_TP0
root     862394 72.0  0.2 493026300 2721992 ?   RNl  19:35   9:12 VLLM::Worker_TP0
root     862019  6.2  0.1 230227672 1796608 ?   SNl  19:34   0:48 ray::vLLMHttpServer
root     862013  6.3  0.1 230198876 1776400 ?   SNl  19:34   0:49 ray::vLLMHttpServer.generate
root     859485  2.4  0.0 201368460 1296244 ?   SNl  19:33   0:21 ray::TaskRunnerV1.run
root     863265  2.1  0.0 205142824 1264956 ?   SNl  19:35   0:16 ray::AgentLoopWorkerTQ
root     863290  2.1  0.0 204684044 1263120 ?   SNl  19:35   0:15 ray::AgentLoopWorkerTQ
root     863287  2.1  0.0 204921576 1262264 ?   SNl  19:35   0:15 ray::AgentLoopWorkerTQ
root     863288  2.2  0.0 204757816 1261772 ?   SNl  19:35   0:16 ray::AgentLoopWorkerTQ
root     863285  2.0  0.0 204905332 1261588 ?   SNl  19:35   0:15 ray::AgentLoopWorkerTQ
root     863271  2.2  0.0 204905208 1260756 ?   SNl  19:35   0:16 ray::AgentLoopWorkerTQ
root     863280  2.1  0.0 204685112 1259404 ?   SNl  19:35   0:15 ray::AgentLoopWorkerTQ
root     862307 34.0  0.0 23420884 1246804 ?    RNl  19:35   4:23 VLLM::EngineCore
root     862300 37.7  0.0 23419968 1246332 ?    RNl  19:35   4:51 VLLM::EngineCore
root     863286  2.1  0.0 204840808 1207220 ?   SNl  19:35   0:15 ray::AgentLoopWorkerTQ
root     863103  1.6  0.0 197936304 1042644 ?   SNl  19:35   0:12 ray::GlobalRequestLoadBalancer
root     861511  1.1  0.0 197286572 917332 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     861614  1.1  0.0 197213008 917084 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     861612  1.1  0.0 197211856 916920 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     861616  1.1  0.0 197212756 916760 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     861617  1.1  0.0 197212948 916420 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     861615  1.1  0.0 197212856 915692 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     861613  1.1  0.0 197211728 915416 ?    SNl  19:34   0:08 ray::RewardLoopWorker
root     861603  1.1  0.0 197213784 914652 ?    SNl  19:34   0:09 ray::RewardLoopWorker
root     854745  1.8  0.0 225754436 874224 ?    Sl   19:33   0:15 python3 -m verl.trainer.main_ppo algorithm.adv_estimator=grpo algorithm.use_kl_in_reward=False algorithm.norm_adv_by_std_in_grpo=True algorithm.filter_groups.enable=False data.train_files=['/root/autodl-tmp/rl_lab/data/dapo_math_17k/train.parquet'] data.val_files=['/root/autodl-tmp/rl_lab/data/dapo_math_17k/val.parquet'] data.train_batch_size=16 data.max_prompt_length=2048 data.max_response_length=8192 data.filter_overlong_prompts=True data.truncation=error +data.apply_chat_template_kwargs.enable_thinking=False actor_rollout_ref.model.path=/root/autodl-tmp/rl_lab/models/Qwen3-8B actor_rollout_ref.model.use_remove_padding=True actor_rollout_ref.model.enable_gradient_checkpointing=True actor_rollout_ref.actor.optim.lr=1e-6 actor_rollout_ref.actor.ppo_mini_batch_size=8 actor_rollout_ref.actor.ppo_epochs=1 actor_rollout_ref.actor.clip_ratio_low=0.2 actor_rollout_ref.actor.clip_ratio_high=0.2 actor_rollout_ref.actor.loss_agg_mode=token-mean actor_rollout_ref.actor.use_dynamic_bsz=True actor_rollout_ref.actor.ppo_max_token_len_per_gpu=32768 actor_rollout_ref.actor.use_kl_loss=True actor_rollout_ref.actor.kl_loss_coef=0.001 actor_rollout_ref.actor.kl_loss_type=low_var_kl actor_rollout_ref.actor.entropy_coeff=0 actor_rollout_ref.actor.fsdp_config.param_offload=False actor_rollout_ref.actor.fsdp_config.optimizer_offload=False actor_rollout_ref.rollout.name=vllm actor_rollout_ref.rollout.tensor_model_parallel_size=2 actor_rollout_ref.rollout.gpu_memory_utilization=0.6 actor_rollout_ref.rollout.n=8 actor_rollout_ref.rollout.temperature=1.0 actor_rollout_ref.rollout.top_p=1.0 actor_rollout_ref.rollout.log_prob_use_dynamic_bsz=True actor_rollout_ref.rollout.log_prob_max_token_len_per_gpu=32768 actor_rollout_ref.ref.log_prob_use_dynamic_bsz=True actor_rollout_ref.ref.log_prob_max_token_len_per_gpu=32768 actor_rollout_ref.ref.fsdp_config.param_offload=True trainer.balance_batch=True trainer.logger=["console","file"] trainer.project_name=qwen3_8b_grpo_dapo_lab trainer.experiment_name=R1_grpo_baseline trainer.n_gpus_per_node=4 trainer.nnodes=1 trainer.save_freq=-1 trainer.test_freq=10 trainer.val_before_train=False trainer.resume_mode=disable trainer.total_epochs=1 trainer.total_training_steps=20 trainer.rollout_data_dir=/root/autodl-tmp/rl_lab/logs/E_drgrpo_scaled-20260911-193309/rollout_dump ray_kwargs.ray_init.runtime_env.py_executable=uv -v run --frozen --all-packages --extra vllm --extra fsdp algorithm.norm_adv_by_std_in_grpo=False actor_rollout_ref.actor.loss_agg_mode=seq-mean-token-sum-norm actor_rollout_ref.actor.loss_scale_factor=1900
