cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
11.1,3.07,1.27,95.577,83.987,500.0,392.6,47,100,50,95.577,89.64,500.0,394.2,46,100,50,95.577,89.583,500.0,418.5,46,100,47,95.577,89.583,500.0,425.6,49,100,47,2026-09-11T11:33:06,10.70458984375,1138.65,1239.42,100.77,,1789097586.390612
11.0,3.07,1.27,95.577,83.987,500.0,409.7,47,100,51,95.577,89.64,500.0,410.0,46,100,55,95.577,89.583,500.0,403.1,45,100,59,95.577,89.583,500.0,409.0,48,100,58,2026-09-11T11:33:16,11.21826171875,1138.64,1239.42,100.78,,1789097596.3906882
10.7,3.07,1.27,95.577,83.987,500.0,231.5,42,0,0,95.577,89.64,500.0,232.9,41,0,0,95.577,89.585,500.0,395.3,45,100,59,95.577,89.585,500.0,398.8,48,100,59,2026-09-11T11:33:26,11.486328125,1137.89,1239.42,101.52,,1789097606.3907602
9.0,3.07,1.27,95.577,83.987,500.0,411.9,47,100,42,95.577,89.64,500.0,415.7,46,100,42,95.577,89.691,500.0,414.4,47,100,42,95.577,89.691,500.0,415.6,49,100,42,2026-09-11T11:33:36,11.27099609375,1137.85,1239.42,101.56,,1789097616.3908384
11.0,3.07,1.27,95.577,83.987,500.0,413.8,47,100,52,95.577,89.64,500.0,416.0,46,100,53,95.577,89.691,500.0,387.6,46,100,50,95.577,89.691,500.0,391.5,48,100,50,2026-09-11T11:33:46,11.537109375,1137.84,1239.42,101.57,,1789097626.3909097
9.8,3.07,1.27,95.577,83.987,500.0,361.4,45,0,0,95.577,89.64,500.0,362.0,43,100,60,95.577,89.691,500.0,402.3,45,100,59,95.577,89.691,500.0,404.6,48,100,59,2026-09-11T11:33:56,11.755859375,1137.88,1239.42,101.54,,1789097636.3909812
7.0,3.07,1.27,95.577,35.165,500.0,321.7,45,99,14,95.577,40.78,500.0,325.6,44,99,14,95.577,40.8,500.0,328.0,46,99,12,95.577,40.78,500.0,330.9,48,99,14,2026-09-11T11:34:06,11.17822265625,1137.82,1239.42,101.6,,1789097646.3910546
5.8,3.07,1.27,95.577,50.39,500.0,300.3,45,88,13,95.577,56.159,500.0,302.0,44,100,6,95.577,56.238,500.0,304.6,44,100,8,95.577,56.335,500.0,306.3,47,76,13,2026-09-11T11:34:16,10.615234375,1138.61,1239.42,100.8,,1789097656.3911312
6.5,3.07,1.27,95.577,57.402,500.0,322.1,46,100,9,95.577,63.171,500.0,323.5,45,100,24,95.577,63.249,500.0,326.9,45,100,9,95.577,63.347,500.0,333.1,48,100,9,2026-09-11T11:34:26,10.1328125,1138.61,1239.42,100.81,,1789097666.3912015
6.4,3.07,1.27,95.577,67.206,500.0,325.9,46,100,14,95.577,72.741,500.0,326.6,44,99,10,95.577,72.683,500.0,326.7,45,100,12,95.577,72.566,500.0,330.0,47,100,23,2026-09-11T11:34:36,9.8046875,1138.57,1239.42,100.84,,1789097676.3912735
