cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
7.4,3.06,1.27,95.577,44.874,500.0,323.8,46,100,6,95.577,50.038,500.0,315.0,45,99,14,95.577,49.999,500.0,319.6,43,87,12,95.577,50.019,500.0,323.3,46,88,6,2026-09-11T10:24:42,12.21337890625,1041.77,1239.42,197.65,,1789093482.3374097
6.6,3.06,1.27,95.577,52.648,500.0,333.9,47,99,19,95.577,55.976,500.0,331.2,46,100,12,95.577,55.937,500.0,334.5,45,99,18,95.577,55.956,500.0,338.5,47,100,16,2026-09-11T10:24:52,11.5654296875,1041.74,1239.42,197.67,,1789093492.3374882
6.6,3.06,1.27,95.577,63.058,500.0,333.2,47,100,9,95.577,64.98,500.0,325.6,45,100,14,95.577,64.941,500.0,327.9,45,99,12,95.577,64.96,500.0,331.3,47,99,19,2026-09-11T10:25:02,11.01708984375,1041.72,1239.42,197.7,,1789093502.337567
5.8,3.06,1.27,95.577,64.796,500.0,324.3,45,100,17,95.577,66.152,500.0,309.6,43,0,0,95.577,66.113,500.0,326.2,44,40,34,95.577,66.132,500.0,319.5,45,99,71,2026-09-11T10:25:12,10.55908203125,1041.77,1239.42,197.64,,1789093512.3376725
9.3,3.06,1.27,95.577,86.751,500.0,427.1,48,100,45,95.577,91.974,500.0,427.7,47,100,45,95.577,91.974,500.0,409.2,46,100,43,95.577,91.974,500.0,414.8,48,100,42,2026-09-11T10:25:22,10.9150390625,1041.84,1239.42,197.58,,1789093522.337746
10.1,3.06,1.27,95.577,86.751,500.0,388.6,47,100,46,95.577,91.974,500.0,388.2,46,100,46,95.577,91.974,500.0,407.1,46,100,49,95.577,91.974,500.0,413.7,48,100,49,2026-09-11T10:25:32,11.23583984375,1041.84,1239.42,197.57,,1789093532.3378208
9.2,3.06,1.27,95.577,86.751,500.0,420.7,47,100,57,95.577,91.974,500.0,419.2,46,100,51,95.577,91.974,500.0,425.7,46,100,58,95.577,91.974,500.0,429.5,49,100,58,2026-09-11T10:25:42,11.34716796875,1041.85,1239.42,197.57,,1789093542.3379006
10.0,3.06,1.27,95.577,86.751,500.0,378.7,47,100,51,95.577,91.974,500.0,378.5,46,100,50,95.577,91.976,500.0,402.5,45,100,60,95.577,91.976,500.0,407.1,48,100,60,2026-09-11T10:25:52,11.51513671875,1041.81,1239.42,197.6,,1789093552.3379805
8.1,3.06,1.27,95.577,86.753,500.0,121.7,41,0,0,95.577,91.976,500.0,121.1,40,0,0,95.577,91.976,500.0,121.1,38,0,0,95.577,91.976,500.0,124.4,41,0,0,2026-09-11T10:26:02,11.1826171875,1041.82,1239.42,197.59,,1789093562.3380597
8.1,3.06,1.27,95.577,41.827,500.0,330.1,47,98,14,95.577,47.07,500.0,336.0,46,99,12,95.577,47.011,500.0,334.0,45,99,13,95.577,46.991,500.0,336.0,48,98,16,2026-09-11T10:26:12,10.77294921875,1041.76,1239.42,197.65,,1789093572.3381407
7.7,3.06,1.27,95.577,44.308,500.0,331.9,47,98,13,95.577,49.55,500.0,334.6,46,99,12,95.577,49.491,500.0,335.2,45,99,14,95.577,49.472,500.0,338.6,48,98,14,2026-09-11T10:26:22,10.419921875,1041.75,1239.42,197.67,,1789093582.3382213
7.6,3.06,1.27,95.577,56.378,500.0,330.8,47,99,19,95.577,56.835,500.0,336.0,46,100,16,95.577,56.933,500.0,331.0,44,100,10,95.577,56.933,500.0,335.7,48,99,20,2026-09-11T10:26:32,10.201171875,1041.48,1239.42,197.93,,1789093592.338299
