USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     315522 55.4  2.1 1021094580 27982612 ? SNl  10:38  18:07 ray::WorkerDict
root     315520 55.7  2.1 1020769612 27950812 ? SNl  10:38  18:13 ray::WorkerDict
root     315521 55.8  2.1 1020768636 27920004 ? SNl  10:38  18:16 ray::WorkerDict
root     315519 55.4  2.1 1017759720 27918056 ? SNl  10:38  18:09 ray::WorkerDict
root     317159 45.5  0.2 492848924 2822224 ?   RNl  10:39  14:22 VLLM::Worker_TP1
root     317147 46.1  0.2 492837648 2813088 ?   RNl  10:39  14:34 VLLM::Worker_TP1
root     317158 83.3  0.2 492917320 2745484 ?   RNl  10:39  26:19 VLLM::Worker_TP0
root     317146 84.5  0.2 492907160 2737448 ?   RNl  10:39  26:42 VLLM::Worker_TP0
root     316779  5.7  0.1 230234740 1795060 ?   SNl  10:39   1:49 ray::vLLMHttpServer
root     316776  5.5  0.1 230214240 1783504 ?   SNl  10:39   1:46 ray::vLLMHttpServer
root     318096  1.3  0.0 206578524 1270452 ?   SNl  10:39   0:25 ray::AgentLoopWorkerTQ
root     318102  1.3  0.0 206570300 1270048 ?   SNl  10:39   0:25 ray::AgentLoopWorkerTQ
root     318076  1.3  0.0 206644960 1269888 ?   SNl  10:39   0:24 ray::AgentLoopWorkerTQ
root     318101  1.4  0.0 206545648 1269560 ?   SNl  10:39   0:26 ray::AgentLoopWorkerTQ
root     318086  1.4  0.0 206849916 1268552 ?   SNl  10:39   0:26 ray::AgentLoopWorkerTQ
root     318099  1.4  0.0 206585756 1268208 ?   SNl  10:39   0:26 ray::AgentLoopWorkerTQ
root     314317  1.5  0.0 201856528 1258952 ?   SNl  10:37   0:31 ray::TaskRunnerV1.run
root     317074 40.1  0.0 23424992 1251552 ?    RNl  10:39  12:43 VLLM::EngineCore
root     317065 40.8  0.0 23423544 1251000 ?    RNl  10:39  12:55 VLLM::EngineCore
root     318071  1.4  0.0 206586608 1217580 ?   SNl  10:39   0:26 ray::AgentLoopWorkerTQ
root     318100  1.3  0.0 206520204 1215112 ?   SNl  10:39   0:25 ray::AgentLoopWorkerTQ
root     317857  1.0  0.0 197946100 1047528 ?   SNl  10:39   0:19 ray::GlobalRequestLoadBalancer
root     316302  0.7  0.0 197295840 923428 ?    SNl  10:39   0:15 ray::RewardLoopWorker
root     316301  0.7  0.0 197294716 922216 ?    SNl  10:39   0:15 ray::RewardLoopWorker
root     316457  0.7  0.0 197221972 920976 ?    SNl  10:39   0:15 ray::RewardLoopWorker
root     316303  0.7  0.0 197296676 920800 ?    SNl  10:39   0:15 ray::RewardLoopWorker
root     316297  0.7  0.0 197295616 920004 ?    SNl  10:39   0:14 ray::RewardLoopWorker
root     316304  0.7  0.0 197221984 919872 ?    SNl  10:39   0:14 ray::RewardLoopWorker
root     316535  0.7  0.0 197223016 919852 ?    SNl  10:39   0:14 ray::RewardLoopWorker
root     316305  0.7  0.0 197221852 919704 ?    SNl  10:39   0:14 ray::RewardLoopWorker
root     309730  1.5  0.0 3105480 895808 ?      Sl   10:37   0:31 /root/autodl-tmp/rl_lab/repos/verl/.venv/lib/python3.12/site-packages/ray/core/src/ray/gcs/gcs_server --log_dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_10-37-41_091699_309656/logs --config_list=eyJhdXRvbWF0aWNfb2JqZWN0X3NwaWxsaW5nX2VuYWJsZWQiOiB0cnVlLCAib2JqZWN0X3NwaWxsaW5nX2NvbmZpZyI6ICJ7XCJ0eXBlXCI6IFwiZmlsZXN5c3RlbVwiLCBcInBhcmFtc1wiOiB7XCJkaXJlY3RvcnlfcGF0aFwiOiBcIi9yb290L2F1dG9kbC10bXAvcmxfbGFiL3RtcC9yYXkvcmF5L3Nlc3Npb25fMjAyNi0wOS0xMV8xMC0zNy00MV8wOTE2OTlfMzA5NjU2XCJ9fSIsICJpc19leHRlcm5hbF9zdG9yYWdlX3R5cGVfZnMiOiB0cnVlfQ== --gcs_server_port=0 --metrics-agent-port=0 --node-ip-address=172.17.0.3 --session-name=session_2026-09-11_10-37-41_091699_309656 --ray-commit=237c2455ebb1ea15a32dd9e1fdeb2d617badc37f --session-dir=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_10-37-41_091699_309656 --node-id=fce795aa98e7648da999ec208cf68eb1caf93f513a628870503871d1 --stdout_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_10-37-41_091699_309656/logs/gcs_server.out --stderr_filepath=/root/autodl-tmp/rl_lab/tmp/ray/ray/session_2026-09-11_10-37-41_091699_309656/logs/gcs_server.err
root     309656  0.9  0.0 225763588 874524 ?    Sl   10:37   0:19 python3 -m verl.trainer.main_ppo algorithm.adv_estimator=grpo algorithm.use_kl_in_reward=False algorithm.norm_adv_by_std_in_grpo=True algorithm.filter_groups.enable=False data.train_files=['/root/autodl-tmp/rl_lab/data/dapo_math_17k/train.parquet'] data.val_files=['/root/autodl-tmp/rl_lab/data/dapo_math_17k/val.parquet'] data.train_batch_size=16 data.max_prompt_length=2048 data.max_response_length=8192 data.filter_overlong_prompts=True data.truncation=error +data.apply_chat_template_kwargs.enable_thinking=False actor_rollout_ref.model.path=/root/autodl-tmp/rl_lab/models/Qwen3-8B actor_rollout_ref.model.use_remove_padding=True actor_rollout_ref.model.enable_gradient_checkpointing=True actor_rollout_ref.actor.optim.lr=1e-6 actor_rollout_ref.actor.ppo_mini_batch_size=8 actor_rollout_ref.actor.ppo_epochs=1 actor_rollout_ref.actor.clip_ratio_low=0.2 actor_rollout_ref.actor.clip_ratio_high=0.2 actor_rollout_ref.actor.loss_agg_mode=token-mean actor_rollout_ref.actor.use_dynamic_bsz=True actor_rollout_ref.actor.ppo_max_token_len_per_gpu=32768 actor_rollout_ref.actor.use_kl_loss=True actor_rollout_ref.actor.kl_loss_coef=0.001 actor_rollout_ref.actor.kl_loss_type=low_var_kl actor_rollout_ref.actor.entropy_coeff=0 actor_rollout_ref.actor.fsdp_config.param_offload=False actor_rollout_ref.actor.fsdp_config.optimizer_offload=False actor_rollout_ref.rollout.name=vllm actor_rollout_ref.rollout.tensor_model_parallel_size=2 actor_rollout_ref.rollout.gpu_memory_utilization=0.6 actor_rollout_ref.rollout.n=8 actor_rollout_ref.rollout.temperature=1.0 actor_rollout_ref.rollout.top_p=1.0 actor_rollout_ref.rollout.log_prob_use_dynamic_bsz=True actor_rollout_ref.rollout.log_prob_max_token_len_per_gpu=32768 actor_rollout_ref.ref.log_prob_use_dynamic_bsz=True actor_rollout_ref.ref.log_prob_max_token_len_per_gpu=32768 actor_rollout_ref.ref.fsdp_config.param_offload=True trainer.balance_batch=True trainer.logger=["console","file"] trainer.project_name=qwen3_8b_grpo_dapo_lab trainer.experiment_name=R1_grpo_baseline trainer.n_gpus_per_node=4 trainer.nnodes=1 trainer.save_freq=-1 trainer.test_freq=10 trainer.val_before_train=False trainer.resume_mode=disable trainer.total_epochs=1 trainer.total_training_steps=20 trainer.rollout_data_dir=/root/autodl-tmp/rl_lab/logs/M20_gspo-20260911-103728/rollout_dump ray_kwargs.ray_init.runtime_env.py_executable=uv -v run --frozen --all-packages --extra vllm --extra fsdp actor_rollout_ref.actor.policy_loss.loss_mode=gspo actor_rollout_ref.actor.loss_agg_mode=seq-mean-token-mean
root     318024  0.0  0.0 199905900 834160 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
root     318020  0.0  0.0 199905864 832856 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
root     318018  0.0  0.0 199905840 832728 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
root     318019  0.0  0.0 199905852 832524 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
root     318022  0.0  0.0 199905876 832320 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
root     318026  0.0  0.0 199905924 832300 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
root     318023  0.0  0.0 199905888 831588 ?    SNl  10:39   0:00 ray::TaskRunnerV1.run
