cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
6.9,3.07,1.27,95.577,61.671,500.0,340.0,47,98,14,95.577,64.921,500.0,338.8,46,99,13,95.577,64.921,500.0,340.2,45,98,14,95.577,64.921,500.0,343.3,48,99,13,2026-09-11T11:00:58,10.5009765625,1041.95,1239.42,197.47,,1789095658.7636323
7.4,3.07,1.27,95.577,63.136,500.0,317.1,47,98,20,95.577,64.921,500.0,315.7,45,99,18,95.577,64.921,500.0,323.3,45,99,16,95.577,64.921,500.0,325.0,47,100,12,2026-09-11T11:01:08,10.27587890625,1041.93,1239.42,197.48,,1789095668.7637067
8.4,3.07,1.27,95.577,78.806,500.0,121.2,39,0,0,95.577,85.28,500.0,123.6,39,55,7,95.577,44.027,500.0,120.7,37,0,0,95.577,44.027,500.0,124.8,40,0,0,2026-09-11T11:01:18,12.16162109375,1042.07,1239.42,197.34,,1789095678.7637854
10.9,3.07,1.27,95.577,86.818,500.0,417.5,47,100,44,95.577,91.962,500.0,417.7,46,100,44,95.577,91.95,500.0,413.1,46,100,47,95.577,91.95,500.0,417.1,48,100,47,2026-09-11T11:01:28,12.36474609375,1042.04,1239.42,197.38,,1789095688.7638583
10.8,3.07,1.27,95.577,86.818,500.0,384.3,47,100,45,95.577,91.962,500.0,387.1,46,100,45,95.577,91.95,500.0,398.1,45,100,51,95.577,91.95,500.0,403.6,48,100,51,2026-09-11T11:01:38,12.4560546875,1042.05,1239.42,197.37,,1789095698.763932
10.9,3.07,1.27,95.577,86.818,500.0,381.1,47,100,48,95.577,91.962,500.0,385.4,46,100,47,95.577,91.952,500.0,398.6,45,100,59,95.577,91.952,500.0,401.4,47,100,59,2026-09-11T11:01:48,12.7802734375,1042.05,1239.42,197.36,,1789095708.7640028
10.6,3.07,1.27,95.577,86.82,500.0,407.1,47,100,59,95.577,91.964,500.0,407.5,46,100,59,95.577,91.952,500.0,120.8,38,0,0,95.577,91.952,500.0,123.7,41,0,0,2026-09-11T11:01:58,12.794921875,1042.08,1239.42,197.34,,1789095718.7640755
8.8,3.07,1.27,95.577,41.808,500.0,327.7,47,99,13,95.577,46.952,500.0,330.9,45,99,13,95.577,46.816,500.0,322.2,44,99,12,95.577,46.991,500.0,333.0,46,99,13,2026-09-11T11:02:08,12.1435546875,1041.99,1239.42,197.42,,1789095728.7641492
8.3,3.07,1.27,95.577,44.327,500.0,329.1,47,99,12,95.577,49.433,500.0,330.2,46,98,15,95.577,49.433,500.0,327.0,44,99,12,95.577,49.472,500.0,335.1,47,98,15,2026-09-11T11:02:18,11.8134765625,1041.99,1239.42,197.42,,1789095738.7642252
8.4,3.07,1.27,95.577,52.003,500.0,333.7,46,99,20,95.577,52.597,500.0,336.2,45,98,16,95.577,52.46,500.0,328.5,44,100,9,95.577,52.421,500.0,335.4,47,99,15,2026-09-11T11:02:28,11.38037109375,1041.8,1239.42,197.61,,1789095748.7642987
