cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
7.7,3.06,1.27,95.577,46.339,500.0,334.4,46,98,14,95.577,51.425,500.0,336.8,45,99,13,95.577,51.445,500.0,333.5,44,99,13,95.577,51.484,500.0,345.5,47,98,14,2026-09-10T14:01:45,11.10009765625,1042.48,1239.42,196.94,,1789020105.3749688
7.3,3.06,1.27,95.577,62.706,500.0,330.5,46,99,12,95.577,66.366,500.0,331.8,46,99,14,95.577,66.386,500.0,330.0,44,99,12,95.577,66.425,500.0,326.1,47,99,11,2026-09-10T14:01:55,10.783203125,1042.44,1239.42,196.97,,1789020115.3750455
7.6,3.06,1.27,95.577,66.066,500.0,332.3,47,99,12,95.577,66.366,500.0,335.3,45,98,15,95.577,66.386,500.0,332.9,45,98,14,95.577,66.425,500.0,334.4,48,99,12,2026-09-10T14:02:05,10.64990234375,1042.44,1239.42,196.97,,1789020125.3751202
7.5,3.06,1.27,95.577,67.237,500.0,279.1,42,0,0,95.577,67.538,500.0,283.9,41,10,9,95.577,67.558,500.0,279.2,40,0,0,95.577,67.597,500.0,296.7,43,36,31,2026-09-10T14:02:15,10.72314453125,1042.44,1239.42,196.98,,1789020135.3751965
8.5,3.06,1.27,95.577,86.874,500.0,415.5,47,100,43,95.577,92.019,500.0,416.8,46,100,43,95.577,91.968,500.0,419.5,46,100,45,95.577,91.968,500.0,423.5,48,100,45,2026-09-10T14:02:25,10.69189453125,1042.56,1239.42,196.86,,1789020145.3752713
10.1,3.06,1.27,95.577,86.874,500.0,452.0,49,100,54,95.577,92.019,500.0,452.5,48,100,54,95.577,91.968,500.0,435.4,47,100,53,95.577,91.968,500.0,438.7,49,100,52,2026-09-10T14:02:35,10.8935546875,1042.56,1239.42,196.85,,1789020155.3753426
9.8,3.06,1.27,95.577,86.874,500.0,385.9,47,100,49,95.577,92.019,500.0,389.2,46,100,49,95.577,91.968,500.0,394.3,45,100,49,95.577,91.968,500.0,396.0,48,100,49,2026-09-10T14:02:45,11.28515625,1042.54,1239.42,196.87,,1789020165.3754168
9.2,3.06,1.27,95.577,86.876,500.0,395.2,46,100,59,95.577,92.021,500.0,396.1,45,100,60,95.577,91.97,500.0,395.3,45,100,60,95.577,91.97,500.0,399.0,48,100,60,2026-09-10T14:02:55,11.31494140625,1043.26,1239.42,196.15,,1789020175.375489
8.3,3.06,1.27,95.577,37.374,500.0,323.2,46,99,11,95.577,42.558,500.0,332.6,46,99,14,95.577,42.577,500.0,328.6,44,99,13,95.577,42.558,500.0,335.2,47,99,13,2026-09-10T14:03:05,10.86572265625,1043.2,1239.42,196.22,,1789020185.375565
6.2,3.06,1.27,95.577,44.933,500.0,255.4,46,99,12,95.577,50.116,500.0,259.0,45,98,13,95.577,50.116,500.0,251.0,44,99,14,95.577,50.116,500.0,258.6,47,99,14,2026-09-10T14:03:15,10.49853515625,1043.17,1239.42,196.25,,1789020195.3756385
6.5,3.06,1.27,95.577,44.933,500.0,274.1,42,0,0,95.577,50.116,500.0,262.3,41,0,0,95.577,50.116,500.0,268.6,41,0,0,95.577,50.116,500.0,271.4,43,13,3,2026-09-10T14:03:25,10.34130859375,1043.16,1239.42,196.25,,1789020205.375715
6.8,3.06,1.27,95.577,58.195,500.0,325.0,46,99,16,95.577,63.769,500.0,335.6,45,100,10,95.577,63.378,500.0,324.8,45,99,20,95.577,63.769,500.0,335.4,48,99,11,2026-09-10T14:03:35,9.9072265625,1043.12,1239.42,196.29,,1789020215.375791
7.6,3.06,1.27,95.577,69.308,500.0,329.3,46,100,9,95.577,73.81,500.0,319.8,45,100,9,95.577,74.394,500.0,321.3,45,99,20,95.577,73.81,500.0,325.7,47,99,10,2026-09-10T14:03:45,9.6875,1043.1,1239.42,196.31,,1789020225.3758678
7.7,3.06,1.27,95.577,69.308,500.0,325.8,46,100,13,95.577,73.81,500.0,318.1,45,89,14,95.577,74.396,500.0,323.1,44,89,11,95.577,73.81,500.0,326.8,47,89,14,2026-09-10T14:03:55,9.427734375,1043.12,1239.42,196.3,,1789020235.3759422
