cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
10.4,3.06,1.27,95.577,86.9,500.0,410.2,48,100,48,95.577,92.044,500.0,418.2,47,100,48,95.577,91.931,500.0,412.6,46,100,47,95.577,91.931,500.0,417.9,48,100,48,2026-09-10T14:07:05,10.07861328125,1042.4,1239.42,197.01,,1789020425.3773463
9.5,3.06,1.27,95.577,86.9,500.0,415.6,48,100,53,95.577,92.044,500.0,416.9,47,100,53,95.577,91.931,500.0,399.3,46,100,52,95.577,91.931,500.0,403.4,48,100,52,2026-09-10T14:07:15,10.81689453125,1042.41,1239.42,197.01,,1789020435.3774183
8.7,3.06,1.27,95.577,86.902,500.0,121.6,41,0,0,95.577,92.046,500.0,121.1,40,0,0,95.577,91.933,500.0,122.1,39,0,0,95.577,91.933,500.0,124.3,42,0,0,2026-09-10T14:07:25,11.14697265625,1042.42,1239.42,196.99,,1789020445.3774958
6.8,3.06,1.27,95.577,46.124,500.0,267.2,46,99,13,95.577,51.249,500.0,262.8,45,99,13,95.577,51.308,500.0,267.0,44,99,13,95.577,51.288,500.0,261.8,47,99,13,2026-09-10T14:07:35,10.66259765625,1042.34,1239.42,197.08,,1789020455.377574
6.1,3.06,1.27,95.577,47.765,500.0,324.5,46,99,17,95.577,52.323,500.0,332.9,45,100,14,95.577,52.382,500.0,324.6,44,100,11,95.577,52.558,500.0,331.2,46,100,10,2026-09-10T14:07:45,10.01904296875,1042.33,1239.42,197.08,,1789020465.377651
6.5,3.06,1.27,95.577,65.636,500.0,328.8,46,100,10,95.577,66.191,500.0,328.1,45,99,13,95.577,66.249,500.0,325.2,44,100,11,95.577,66.23,500.0,332.3,47,99,19,2026-09-10T14:07:55,9.70166015625,1042.29,1239.42,197.12,,1789020475.3777323
6.4,3.06,1.27,95.577,65.636,500.0,318.9,46,100,12,95.577,66.191,500.0,322.2,44,100,13,95.577,66.249,500.0,324.3,44,100,17,95.577,66.23,500.0,326.8,47,100,10,2026-09-10T14:08:05,9.8212890625,1042.31,1239.42,197.11,,1789020485.377805
6.1,3.06,1.27,95.577,53.046,500.0,140.5,41,32,14,95.577,53.128,500.0,129.7,40,100,0,95.577,53.128,500.0,145.7,40,27,6,95.577,53.128,500.0,137.6,41,100,0,2026-09-10T14:08:15,9.4609375,1043.11,1239.42,196.3,,1789020495.3778772
10.9,3.06,1.27,95.577,86.892,500.0,407.0,47,100,46,95.577,92.036,500.0,409.0,46,100,46,95.577,91.968,500.0,414.6,46,100,47,95.577,91.968,500.0,417.6,48,100,47,2026-09-10T14:08:25,10.17236328125,1043.12,1239.42,196.3,,1789020505.3779519
11.2,3.06,1.27,95.577,86.892,500.0,393.3,47,100,50,95.577,92.036,500.0,395.2,46,100,50,95.577,91.968,500.0,396.6,45,100,51,95.577,91.968,500.0,400.7,48,100,51,2026-09-10T14:08:35,10.61376953125,1043.1,1239.42,196.32,,1789020515.3780248
10.9,3.06,1.27,95.577,79.071,500.0,338.3,43,0,0,95.577,84.216,500.0,346.9,42,0,0,95.577,84.946,500.0,201.3,40,0,0,95.577,84.169,500.0,196.7,43,0,0,2026-09-10T14:08:45,11.1220703125,1043.03,1239.42,196.39,,1789020525.3781016
7.8,3.06,1.27,95.577,45.636,500.0,332.1,46,99,13,95.577,50.761,500.0,329.6,46,99,13,95.577,50.741,500.0,329.6,45,99,14,95.577,50.8,500.0,331.5,47,99,13,2026-09-10T14:08:55,10.794921875,1042.97,1239.42,196.44,,1789020535.3781776
7.6,3.06,1.27,95.577,50.265,500.0,335.2,46,99,11,95.577,53.632,500.0,334.2,45,99,17,95.577,53.612,500.0,333.9,45,99,11,95.577,53.671,500.0,336.9,48,100,18,2026-09-10T14:09:05,10.59228515625,1042.22,1239.42,197.19,,1789020545.3782601
