global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,-0.013763997121714056,1e-06,0.2714477740228176,0.358451783657074,-2.1806300026128156e-05,5.21367394412664e-05,,,-0.5,0.8660254037844386,1.0,-1.0,-0.043362900614738464,,-2.474870204925537,2.474870204925537,16,8.0,16,0,6,10,6,0.0,0.375,0.625,0.375,10,0.625,0.5260413084367532,,,,,,1683.84375,,,7068.0,,,234740.0,462.50443149133457,42.36567771807313,10.083854127675295,29.818369548767805,0.14441005140542984,,31.530040334910154,4.209004636853933,,126.88527072221041,33.39,,31.45,24.85,3.32,7.0,1.0,1,0.0,0.0,1.0,0.9995884299278259,0.00299959653057158,0.33533862233161926,0.00031155170290730894,48.94429397583008,61.171875,0.6466517238935324,0.00014313595420389902,,,,-0.043362900614738464,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
2,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,0.010434514377266169,1e-06,0.31294793635606766,0.33242371678352356,-4.3988706153186286e-05,0.0001525029347249074,,,-0.15625,0.9877175393299442,1.0,-1.0,-0.050064947456121445,,-2.474870204925537,2.474870204925537,16,8.0,16,0,3,13,3,0.0,0.1875,0.8125,0.1875,13,0.8125,0.6820231251931558,,,,,,1643.75,,,5426.0,,,230736.0,672.9196162575818,34.35747076570988,8.385781209915876,8.264971174299717,0.12534745037555695,,30.350503601133823,4.213425610214472,,85.72197719663382,40.08,,19.42,35.41,4.92,0.17,2.0,2,0.0,0.0,1.0,0.9997270703315735,0.002873876830562949,0.20346158742904663,0.00033372940379194915,49.13988208770752,61.541015625,0.6596496317806075,0.0003211479815945495,,,,-0.050064947456121445,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
3,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,0.009417949477210641,1e-06,0.2821488231420517,0.4432307183742523,-5.4435910016081834e-05,7.762995824123209e-05,,,-0.421875,0.9066540047752505,1.0,-1.0,0.013332507573068142,,-2.474870204925537,2.474870204925537,16,8.0,16,0,6,10,6,0.0,0.375,0.625,0.375,10,0.625,0.5048811726721375,,,,,,1694.984375,,,6347.0,,,239710.0,640.4455874136055,40.37565891817212,8.720085822045803,8.524453967809677,0.1236761063337326,,31.6049189157784,4.197781130671501,,93.57157138362527,43.15,,18.43,33.78,4.49,0.16,3.0,3,0.0,0.0,1.0,0.9996187686920166,0.0032762717455625534,0.13027602434158325,0.0005045869620516896,49.69563961029053,62.2265625,0.6593839955833839,0.00038053503521950915,,,,0.013332507573068142,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
4,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,0.014687794260680676,1e-06,0.3293912410736084,0.3215493857860565,2.695444516120915e-05,0.00016648036944388878,,,-0.21875,0.9757809372497497,1.0,-1.0,0.012852445244789124,,-2.474870204925537,2.474870204925537,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.6214985910034486,,,,,,1447.703125,,,4304.0,,,204770.0,713.7001712522364,26.337529454380274,7.3469997718930244,7.194205392152071,0.10496016219258308,,26.69440893828869,4.0262273252010345,,71.72830000892282,36.72,,20.27,37.22,5.61,0.18,4.0,4,0.0,0.0,1.0,0.9995905160903931,0.002864925190806389,0.4773646593093872,0.0003701472014654428,49.69563961029053,62.2265625,0.6626034733162995,0.00036244634247850627,,,,0.012852445244789124,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
5,2026-09-10T14:55:50,0,,0.0,0.0234375,0.0234375,,0.0401175168226473,1e-06,0.2179325707256794,0.22545349597930908,-1.810004937397025e-05,5.0717918611553614e-05,,,-0.28125,0.9596345332990055,1.0,-1.0,-0.019082320854067802,,-2.474870204925537,1.6201833486557007,16,8.0,16,1,6,9,7,0.0625,0.375,0.5625,0.4375,9,0.5625,0.4910902212493325,,,,,,1804.2734375,,,8192.0,,,249931.0,583.0447191447995,50.392642606049776,9.251402575522661,9.060913100838661,0.13841984421014786,,34.16155535727739,4.133487451821566,,107.16630808636546,47.02,,17.09,31.88,3.86,0.16,5.0,5,0.0,0.0,1.0,0.9995922446250916,0.001978435320779681,0.23086759448051453,0.0002814039180520922,50.90733623504639,63.65234375,0.6486605602904538,0.00030279824750323314,,,,-0.019082320854067802,1.6201833486557007,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
6,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,-0.0022087133256718516,1e-06,0.2861437052488327,0.305340975522995,2.4713042421353748e-05,0.0001676934443821665,,,0.34375,0.939061200082295,1.0,-1.0,-0.020699888467788696,,-2.474870204925537,2.474870204925537,16,8.0,16,4,1,11,5,0.25,0.0625,0.6875,0.3125,11,0.6875,0.584572038005735,,,,,,1384.453125,,,4714.0,,,194410.0,675.1747257238206,28.350442733615637,7.042011022567749,6.905514996498823,0.11782946810126305,,25.526083558797836,4.019986800849438,,71.98507015779614,39.38,,19.38,35.46,5.58,0.2,6.0,6,0.0,0.0,1.0,0.9994152784347534,0.00284941797144711,0.3175716996192932,0.0003176354512106627,50.90733623504639,63.65234375,0.6570350800047411,0.0004123450180486543,,,,-0.020699888467788696,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
7,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,0.011618697702942882,1e-06,0.2879910320043564,0.3664397597312927,-2.9148652629373828e-05,0.00018549183732829988,,,0.078125,0.9969435713093294,1.0,-1.0,-0.010871533304452896,,-2.474870204925537,2.474870204925537,16,8.0,16,2,2,12,4,0.125,0.125,0.75,0.25,12,0.75,0.5919650429753602,,,,,,1803.25,,,6427.0,,,252904.0,642.2672200357573,42.36393387243152,9.182015623897314,9.000888586044312,0.11898266524076462,,33.540443036705256,4.212851084768772,,98.44189151749015,43.03,,18.47,34.07,4.28,0.14,7.0,7,0.0,0.0,1.0,0.9995713829994202,0.0029639459680765867,0.23282894492149353,0.00044294047984294593,51.324156284332275,64.041015625,0.660953661372565,0.000669693010422634,,,,-0.010871533304452896,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
8,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,-0.012724603933747858,1e-06,0.23071860522031784,0.27066776156425476,3.236113752791425e-05,0.00012427335695974762,,,-0.125,0.9921567416492215,1.0,-1.0,-0.015140574425458908,,-2.474870204925537,2.474870204925537,16,8.0,16,2,5,9,7,0.125,0.3125,0.5625,0.4375,9,0.5625,0.44436580788764657,,,,,,1608.3984375,,,5663.0,,,225659.0,670.8082382978745,34.35660845041275,8.130039032548666,7.972399275749922,0.10443548485636711,,29.540890265256166,3.9699809178709984,,84.09966780245304,40.85,,19.15,35.13,4.72,0.15,8.0,8,0.0,0.0,1.0,0.9995242357254028,0.0024855134543031454,0.1373262107372284,0.00028537213802337646,51.324156284332275,64.041015625,0.6638716931599411,0.0006911771415616386,,,,-0.015140574425458908,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
9,2026-09-10T14:55:50,0,,0.0,0.0078125,0.0,,0.016003205135348253,1e-06,0.306532546877861,0.341254323720932,-9.220324500347488e-06,0.00016498915010743076,,,-0.1875,0.982264602843857,1.0,-1.0,-0.06327574700117111,,-2.474870204925537,2.474870204925537,16,8.0,16,1,3,12,4,0.0625,0.1875,0.75,0.25,12,0.75,0.6131251787399761,,,,,,1665.625,,,6843.0,,,236360.0,639.3885796686297,40.389205541461706,8.501879382878542,8.326688952744007,0.11267126351594925,,31.086185909807682,3.978156626224518,,92.41641449183226,43.7,,18.21,33.64,4.3,0.15,9.0,9,0.0,0.0,1.0,0.9995595812797546,0.0029645320028066635,0.7945422530174255,0.00037904028431512415,51.324156284332275,64.041015625,0.6621096589698143,0.000863967008626787,,,,-0.06327574700117111,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
10,2026-09-10T14:55:50,0,0.495,0.0,0.0078125,0.0,80.78853965550661,-0.02121983200777322,1e-06,0.2354121282696724,0.3094458281993866,-9.19265494303545e-06,0.00013155156352695485,,,-0.265625,0.9640764281813968,1.0,-1.0,0.03503098338842392,,-2.474870204925537,2.474870204925537,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.6067364016920126,,,,,,2188.109375,,,6625.0,,,301606.0,685.2026683672137,44.35808978974819,10.83464416116476,10.69883368164301,0.10945870727300644,,39.853838447481394,4.166439156979322,,110.04262458533049,40.31,,19.57,36.22,3.79,0.12,10.0,10,0.0,0.0,1.0,0.9995758533477783,0.0026562539860606194,0.15946853160858154,0.00031309734913520515,51.68492031097412,65.447265625,0.6634512031659545,0.0007888672153057996,,,,0.03503098338842392,2.474870204925537,-2.474870204925537,,,,,87.292,92.437,92.4,92.4
